Web Search interest
United States; 2009

Interest over time
Week,Computers & Electronics
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-3%
2009-01-18 - 2009-01-24,-7%
2009-01-25 - 2009-01-31,-6%
2009-02-01 - 2009-02-07,-7%
2009-02-08 - 2009-02-14,-7%
2009-02-15 - 2009-02-21,-7%
2009-02-22 - 2009-02-28,-5%
2009-03-01 - 2009-03-07,-9%
2009-03-08 - 2009-03-14,-10%
2009-03-15 - 2009-03-21,-11%
2009-03-22 - 2009-03-28,-8%
2009-03-29 - 2009-04-04,-6%
2009-04-05 - 2009-04-11,-12%
2009-04-12 - 2009-04-18,-12%
2009-04-19 - 2009-04-25,-12%
2009-04-26 - 2009-05-02,-12%
2009-05-03 - 2009-05-09,-11%
2009-05-10 - 2009-05-16,-12%
2009-05-17 - 2009-05-23,-14%
2009-05-24 - 2009-05-30,-14%
2009-05-31 - 2009-06-06,-8%
2009-06-07 - 2009-06-13,-8%
2009-06-14 - 2009-06-20,-8%
2009-06-21 - 2009-06-27,-12%
2009-06-28 - 2009-07-04,-13%
2009-07-05 - 2009-07-11,-11%
2009-07-12 - 2009-07-18,-9%
2009-07-19 - 2009-07-25,-11%
2009-07-26 - 2009-08-01,-11%
2009-08-02 - 2009-08-08,-12%
2009-08-09 - 2009-08-15,-10%
2009-08-16 - 2009-08-22,-8%
2009-08-23 - 2009-08-29,-9%
2009-08-30 - 2009-09-05,-6%
2009-09-06 - 2009-09-12,-10%
2009-09-13 - 2009-09-19,-13%
2009-09-20 - 2009-09-26,-12%
2009-09-27 - 2009-10-03,-13%
2009-10-04 - 2009-10-10,-15%
2009-10-11 - 2009-10-17,-14%
2009-10-18 - 2009-10-24,-8%
2009-10-25 - 2009-10-31,-10%
2009-11-01 - 2009-11-07,-11%
2009-11-08 - 2009-11-14,-8%
2009-11-15 - 2009-11-21,-7%
2009-11-22 - 2009-11-28,-3%
2009-11-29 - 2009-12-05,-5%
2009-12-06 - 2009-12-12,-7%
2009-12-13 - 2009-12-19,-6%
2009-12-20 - 2009-12-26,-2%
2009-12-27 - 2010-01-02,-5%



Top searches
mac,100
hp,95
microsoft,80
dell,75
ipod,75
google,70
sony,60
apple,60
firefox,55
adobe,55
windows 7,55
xbox,55
itunes,50
canon,50
java,40
photoshop,35
linux,35
power,35
xbox 360,35
ubuntu,30



Rising searches
windows 7,+1,650%
netbook,+800%
kindle,+200%
chrome,+90%
google chrome,+90%
acer,+60%
avast,+60%
itunes download,+60%
adobe flash player,+50%
youtube,+50%



