Web Search interest
United States; Past 90 days

Interest over time
Day,People & Society
2014-06-17,+0%
2014-06-18,-2%
2014-06-19,+0%
2014-06-20,+0%
2014-06-21,+1%
2014-06-22,+5%
2014-06-23,+1%
2014-06-24,+0%
2014-06-25,+0%
2014-06-26,-4%
2014-06-27,-3%
2014-06-28,+2%
2014-06-29,+5%
2014-06-30,-1%
2014-07-01,-2%
2014-07-02,-3%
2014-07-03,-4%
2014-07-04,-5%
2014-07-05,-2%
2014-07-06,+9%
2014-07-07,+2%
2014-07-08,-1%
2014-07-09,-1%
2014-07-10,-2%
2014-07-11,-5%
2014-07-12,-1%
2014-07-13,+9%
2014-07-14,+1%
2014-07-15,-2%
2014-07-16,-2%
2014-07-17,-3%
2014-07-18,+1%
2014-07-19,+3%
2014-07-20,+7%
2014-07-21,-3%
2014-07-22,-2%
2014-07-23,-1%
2014-07-24,+0%
2014-07-25,-2%
2014-07-26,+1%
2014-07-27,+9%
2014-07-28,-3%
2014-07-29,-3%
2014-07-30,+0%
2014-07-31,-3%
2014-08-01,-1%
2014-08-02,+0%
2014-08-03,+7%
2014-08-04,-3%
2014-08-05,-5%
2014-08-06,-4%
2014-08-07,-3%
2014-08-08,-4%
2014-08-09,-1%
2014-08-10,+3%
2014-08-11,-4%
2014-08-12,-5%
2014-08-13,-4%
2014-08-14,-3%
2014-08-15,-3%
2014-08-16,-4%
2014-08-17,+4%
2014-08-18,-2%
2014-08-19,-1%
2014-08-20,+5%
2014-08-21,+1%
2014-08-22,-2%
2014-08-23,+0%
2014-08-24,+4%
2014-08-25,-2%
2014-08-26,-2%
2014-08-27,+1%
2014-08-28,-2%
2014-08-29,+1%
2014-08-30,-4%
2014-08-31,+2%
2014-09-01,+0%
2014-09-02,+1%
2014-09-03,+0%
2014-09-04,+1%
2014-09-05,-1%
2014-09-06,-2%
2014-09-07,+4%
2014-09-08,+5%
2014-09-09,+0%
2014-09-10,+1%
2014-09-11,-1%
2014-09-12,-1%
2014-09-13,-2%
2014-09-14,+3%
2014-09-15, 
2014-09-16, 



Top searches
girls,100
hot,75
bible,70
horoscope,40
love,40
cool math,25
social security,25
tmz,25
people,25
babies r us,20
cool math games,20
jesus,20
karma,20
univision,20
pandora,20
marriage,20
credit karma,20
friends,15
baby names,15
girl names,15



Rising searches
james foley,Breakout
caliphate,+1,250%
jennifer lawrence,+300%
jill duggar,+200%
bbc hausa,+160%
zoe saldana,+130%
girl meets world,+120%
العاب,+110%
wiggle wiggle wiggle,+90%
wiggle,+70%



