Web Search interest
United States; 2006

Interest over time
Week,Computers & Electronics
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,-1%
2006-01-15 - 2006-01-21,-3%
2006-01-22 - 2006-01-28,-3%
2006-01-29 - 2006-02-04,-5%
2006-02-05 - 2006-02-11,-9%
2006-02-12 - 2006-02-18,-9%
2006-02-19 - 2006-02-25,-8%
2006-02-26 - 2006-03-04,-10%
2006-03-05 - 2006-03-11,-9%
2006-03-12 - 2006-03-18,-11%
2006-03-19 - 2006-03-25,-11%
2006-03-26 - 2006-04-01,-11%
2006-04-02 - 2006-04-08,-12%
2006-04-09 - 2006-04-15,-14%
2006-04-16 - 2006-04-22,-14%
2006-04-23 - 2006-04-29,-13%
2006-04-30 - 2006-05-06,-15%
2006-05-07 - 2006-05-13,-14%
2006-05-14 - 2006-05-20,-12%
2006-05-21 - 2006-05-27,-14%
2006-05-28 - 2006-06-03,-13%
2006-06-04 - 2006-06-10,-11%
2006-06-11 - 2006-06-17,-11%
2006-06-18 - 2006-06-24,-9%
2006-06-25 - 2006-07-01,-13%
2006-07-02 - 2006-07-08,-14%
2006-07-09 - 2006-07-15,-13%
2006-07-16 - 2006-07-22,-9%
2006-07-23 - 2006-07-29,-10%
2006-07-30 - 2006-08-05,-11%
2006-08-06 - 2006-08-12,-9%
2006-08-13 - 2006-08-19,-6%
2006-08-20 - 2006-08-26,-10%
2006-08-27 - 2006-09-02,-10%
2006-09-03 - 2006-09-09,-10%
2006-09-10 - 2006-09-16,-10%
2006-09-17 - 2006-09-23,-13%
2006-09-24 - 2006-09-30,-8%
2006-10-01 - 2006-10-07,-14%
2006-10-08 - 2006-10-14,-12%
2006-10-15 - 2006-10-21,-15%
2006-10-22 - 2006-10-28,-12%
2006-10-29 - 2006-11-04,-12%
2006-11-05 - 2006-11-11,-14%
2006-11-12 - 2006-11-18,-7%
2006-11-19 - 2006-11-25,-3%
2006-11-26 - 2006-12-02,-6%
2006-12-03 - 2006-12-09,-8%
2006-12-10 - 2006-12-16,-6%
2006-12-17 - 2006-12-23,-4%
2006-12-24 - 2006-12-30,+3%
2006-12-31 - 2007-01-06,-8%



Top searches
windows,100
free,90
microsoft,50
mac,45
ipod,45
dell,45
hp,45
sony,45
linux,30
canon,30
apple,30
java,30
xbox,30
firefox,25
adobe,25
psp,20
media player,20
itunes,15
google,15
photoshop,15



Rising searches
wii,Breakout
vista,+400%
windows vista,+300%
ubuntu,+170%
flash player,+110%
nintendo,+100%
ps3,+100%
itunes,+60%
playstation 3,+60%
garmin,+50%



