Web Search interest
United States; Past 7 days

Interest over time
Day,Reference
2014-09-10,+0%
2014-09-11,+0%
2014-09-12,-9%
2014-09-13,-25%
2014-09-14,-20%
2014-09-15, 
2014-09-16, 



Top searches
craigslist,100
google,45
maps,30
quotes,25
translate,25
definition,25
map,20
google maps,15
translate google,15
library,10
dictionary,10
calendar,10
history,5
translator,5
calculator,5
thesaurus,5
translation,5
zip code,5
ga,5
synonyms,5



Rising searches
9/11 timeline,Breakout
solar storm 2014,Breakout
9/11 quotes,+2,750%
9/11,+1,050%
9/11 museum,+450%
achilles,+50%
apa citation,+50%
جوجل,+50%
bart schedule,+40%
bookflix,+40%



