Image Search interest
United States; Past 7 days

Interest over time
Day,Shopping
2014-09-12,+0%
2014-09-13,+3%
2014-09-14,+6%
2014-09-15,+1%
2014-09-16,-2%
2014-09-17, 
2014-09-18, 



Top searches
shoes,100
black,95
costumes,85
nike,65
white,65
dresses,60
boots,50
halloween costumes,45
party,40
birthday,40
jordan,35
gold,30
flowers,30
outfits,30
lego,25
flower,25
bikini,25
jordans,25
cosplay,20
rings,20



Rising searches
adrian peterson,Breakout
adrian peterson son,Breakout
giancarlo stanton,Breakout
annabelle doll,+350%
halloween costumes 2014,+80%
couples costumes,+60%
iphone 6,+60%
beanie,+50%
halloween costume ideas,+50%
lego movie,+50%



