News Search interest
United States; 2009

Interest over time
Week,Food & Drink
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-15%
2009-01-18 - 2009-01-24,+0%
2009-01-25 - 2009-01-31,+55%
2009-02-01 - 2009-02-07,+42%
2009-02-08 - 2009-02-14,+0%
2009-02-15 - 2009-02-21,+15%
2009-02-22 - 2009-02-28,+58%
2009-03-01 - 2009-03-07,+33%
2009-03-08 - 2009-03-14,+39%
2009-03-15 - 2009-03-21,+61%
2009-03-22 - 2009-03-28,+24%
2009-03-29 - 2009-04-04,+30%
2009-04-05 - 2009-04-11,+61%
2009-04-12 - 2009-04-18,+118%
2009-04-19 - 2009-04-25,+45%
2009-04-26 - 2009-05-02,+15%
2009-05-03 - 2009-05-09,+79%
2009-05-10 - 2009-05-16,+18%
2009-05-17 - 2009-05-23,+9%
2009-05-24 - 2009-05-30,+61%
2009-05-31 - 2009-06-06,+48%
2009-06-07 - 2009-06-13,+61%
2009-06-14 - 2009-06-20,+64%
2009-06-21 - 2009-06-27,+27%
2009-06-28 - 2009-07-04,+39%
2009-07-05 - 2009-07-11,+55%
2009-07-12 - 2009-07-18,+61%
2009-07-19 - 2009-07-25,+67%
2009-07-26 - 2009-08-01,+79%
2009-08-02 - 2009-08-08,+106%
2009-08-09 - 2009-08-15,+58%
2009-08-16 - 2009-08-22,+73%
2009-08-23 - 2009-08-29,+58%
2009-08-30 - 2009-09-05,+42%
2009-09-06 - 2009-09-12,+52%
2009-09-13 - 2009-09-19,+36%
2009-09-20 - 2009-09-26,+52%
2009-09-27 - 2009-10-03,+36%
2009-10-04 - 2009-10-10,+70%
2009-10-11 - 2009-10-17,+58%
2009-10-18 - 2009-10-24,+48%
2009-10-25 - 2009-10-31,+67%
2009-11-01 - 2009-11-07,+45%
2009-11-08 - 2009-11-14,+52%
2009-11-15 - 2009-11-21,+73%
2009-11-22 - 2009-11-28,+203%
2009-11-29 - 2009-12-05,+48%
2009-12-06 - 2009-12-12,+73%
2009-12-13 - 2009-12-19,+64%
2009-12-20 - 2009-12-26,+76%
2009-12-27 - 2010-01-02,+67%



Top searches
food,100
recipes,85
top chef,65
restaurant,60
chicken,60
tea,50
beer,50
starbucks,45
denver,45
pizza,40
beef,40
foods,40
kfc,35
coffee,35
mcdonalds,35
restaurants,30
chocolate,30
pepsi,30
dc,30
wine,30



Rising searches
tea parties,Breakout
teabagging,Breakout
kfc,+600%
pepsi,+350%
tea,+140%
dc,+130%
chicken,+110%
beef,+80%
top chef,+80%
red bull,+70%



