News Search interest
United States; 2011

Interest over time
Week,Games
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-43%
2011-01-16 - 2011-01-22,-32%
2011-01-23 - 2011-01-29,-30%
2011-01-30 - 2011-02-05,-32%
2011-02-06 - 2011-02-12,-34%
2011-02-13 - 2011-02-19,-38%
2011-02-20 - 2011-02-26,-34%
2011-02-27 - 2011-03-05,-30%
2011-03-06 - 2011-03-12,-36%
2011-03-13 - 2011-03-19,-36%
2011-03-20 - 2011-03-26,-22%
2011-03-27 - 2011-04-02,-27%
2011-04-03 - 2011-04-09,-36%
2011-04-10 - 2011-04-16,-20%
2011-04-17 - 2011-04-23,+14%
2011-04-24 - 2011-04-30,+23%
2011-05-01 - 2011-05-07,+35%
2011-05-08 - 2011-05-14,+23%
2011-05-15 - 2011-05-21,-1%
2011-05-22 - 2011-05-28,-18%
2011-05-29 - 2011-06-04,+4%
2011-06-05 - 2011-06-11,+16%
2011-06-12 - 2011-06-18,-23%
2011-06-19 - 2011-06-25,-31%
2011-06-26 - 2011-07-02,-24%
2011-07-03 - 2011-07-09,-27%
2011-07-10 - 2011-07-16,-26%
2011-07-17 - 2011-07-23,-27%
2011-07-24 - 2011-07-30,-32%
2011-07-31 - 2011-08-06,-22%
2011-08-07 - 2011-08-13,-24%
2011-08-14 - 2011-08-20,-23%
2011-08-21 - 2011-08-27,-36%
2011-08-28 - 2011-09-03,-28%
2011-09-04 - 2011-09-10,-26%
2011-09-11 - 2011-09-17,-24%
2011-09-18 - 2011-09-24,-23%
2011-09-25 - 2011-10-01,-18%
2011-10-02 - 2011-10-08,-28%
2011-10-09 - 2011-10-15,-26%
2011-10-16 - 2011-10-22,-20%
2011-10-23 - 2011-10-29,-8%
2011-10-30 - 2011-11-05,-7%
2011-11-06 - 2011-11-12,+15%
2011-11-13 - 2011-11-19,-8%
2011-11-20 - 2011-11-26,-12%
2011-11-27 - 2011-12-03,-23%
2011-12-04 - 2011-12-10,-19%
2011-12-11 - 2011-12-17,-18%
2011-12-18 - 2011-12-24,-23%
2011-12-25 - 2011-12-31,-7%



Top searches
xbox,100
playstation,100
ps3,95
games,85
skyrim,65
skyrim skyrim,65
playstation network,55
battlefield,55
game,55
modern warfare,50
battlefield 3,50
modern warfare 3,45
psn,45
poker,45
xbox 360,40
wii,40
call of duty,40
nintendo,40
lottery,40
mega millions,35



Rising searches
battlefield 3,Breakout
mw3,Breakout
skyrim,Breakout
skyrim skyrim,Breakout
modern warfare 3,+2,150%
playstation network,+750%
psn,+550%
battlefield,+500%
diablo 3,+180%
mortal kombat,+150%



