YouTube Search interest
United States; 2008

Interest over time
Week,Real Estate
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-4%
2008-01-20 - 2008-01-26,+2%
2008-01-27 - 2008-02-02,+4%
2008-02-03 - 2008-02-09,-7%
2008-02-10 - 2008-02-16,-11%
2008-02-17 - 2008-02-23,-11%
2008-02-24 - 2008-03-01,-7%
2008-03-02 - 2008-03-08,-10%
2008-03-09 - 2008-03-15,-11%
2008-03-16 - 2008-03-22,-10%
2008-03-23 - 2008-03-29,-12%
2008-03-30 - 2008-04-05,-12%
2008-04-06 - 2008-04-12,+20%
2008-04-13 - 2008-04-19,+16%
2008-04-20 - 2008-04-26,-4%
2008-04-27 - 2008-05-03,-1%
2008-05-04 - 2008-05-10,-7%
2008-05-11 - 2008-05-17,-2%
2008-05-18 - 2008-05-24,-8%
2008-05-25 - 2008-05-31,-10%
2008-06-01 - 2008-06-07,-13%
2008-06-08 - 2008-06-14,-20%
2008-06-15 - 2008-06-21,-18%
2008-06-22 - 2008-06-28,-17%
2008-06-29 - 2008-07-05,-19%
2008-07-06 - 2008-07-12,-17%
2008-07-13 - 2008-07-19,-16%
2008-07-20 - 2008-07-26,-18%
2008-07-27 - 2008-08-02,-19%
2008-08-03 - 2008-08-09,-17%
2008-08-10 - 2008-08-16,-16%
2008-08-17 - 2008-08-23,-16%
2008-08-24 - 2008-08-30,-19%
2008-08-31 - 2008-09-06,-19%
2008-09-07 - 2008-09-13,-18%
2008-09-14 - 2008-09-20,-17%
2008-09-21 - 2008-09-27,-14%
2008-09-28 - 2008-10-04,-24%
2008-10-05 - 2008-10-11,-20%
2008-10-12 - 2008-10-18,-19%
2008-10-19 - 2008-10-25,-23%
2008-10-26 - 2008-11-01,-23%
2008-11-02 - 2008-11-08,-24%
2008-11-09 - 2008-11-15,-18%
2008-11-16 - 2008-11-22,-17%
2008-11-23 - 2008-11-29,-22%
2008-11-30 - 2008-12-06,-16%
2008-12-07 - 2008-12-13,-19%
2008-12-14 - 2008-12-20,-24%
2008-12-21 - 2008-12-27,-18%
2008-12-28 - 2009-01-03,-20%



Top searches
rent,100
rent rent,100
amanda,100
amanda perez,90
landlord,50
florida,40
athene,35
lindsay,35
office space,35
real estate,30
the landlord,20
sia,20
angel amanda perez,20
homes,20
victoria lindsay,20
houses,15
candy kisses,15
lindsey,15
slimed,15
gunge,15



Rising searches
alphaville,Breakout
roommates,Breakout
victoria lindsay,Breakout
lindsay,+190%
i pray,+90%
tulsa,+80%
dorm,+70%
sia,+60%
homes,+50%
lindsey,+50%



