Image Search interest
United States; 2009

Interest over time
Week,Shopping
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-3%
2009-01-18 - 2009-01-24,-1%
2009-01-25 - 2009-01-31,+0%
2009-02-01 - 2009-02-07,+0%
2009-02-08 - 2009-02-14,+0%
2009-02-15 - 2009-02-21,-3%
2009-02-22 - 2009-02-28,-3%
2009-03-01 - 2009-03-07,+0%
2009-03-08 - 2009-03-14,-1%
2009-03-15 - 2009-03-21,-3%
2009-03-22 - 2009-03-28,+0%
2009-03-29 - 2009-04-04,-3%
2009-04-05 - 2009-04-11,+1%
2009-04-12 - 2009-04-18,+3%
2009-04-19 - 2009-04-25,+3%
2009-04-26 - 2009-05-02,+0%
2009-05-03 - 2009-05-09,+4%
2009-05-10 - 2009-05-16,+3%
2009-05-17 - 2009-05-23,+0%
2009-05-24 - 2009-05-30,+3%
2009-05-31 - 2009-06-06,+4%
2009-06-07 - 2009-06-13,+1%
2009-06-14 - 2009-06-20,+8%
2009-06-21 - 2009-06-27,+7%
2009-06-28 - 2009-07-04,+6%
2009-07-05 - 2009-07-11,+4%
2009-07-12 - 2009-07-18,+8%
2009-07-19 - 2009-07-25,+11%
2009-07-26 - 2009-08-01,+8%
2009-08-02 - 2009-08-08,+10%
2009-08-09 - 2009-08-15,+10%
2009-08-16 - 2009-08-22,+8%
2009-08-23 - 2009-08-29,+8%
2009-08-30 - 2009-09-05,+10%
2009-09-06 - 2009-09-12,+11%
2009-09-13 - 2009-09-19,+8%
2009-09-20 - 2009-09-26,+11%
2009-09-27 - 2009-10-03,+14%
2009-10-04 - 2009-10-10,+14%
2009-10-11 - 2009-10-17,+19%
2009-10-18 - 2009-10-24,+22%
2009-10-25 - 2009-10-31,+39%
2009-11-01 - 2009-11-07,+8%
2009-11-08 - 2009-11-14,+7%
2009-11-15 - 2009-11-21,+6%
2009-11-22 - 2009-11-28,+13%
2009-11-29 - 2009-12-05,+7%
2009-12-06 - 2009-12-12,+10%
2009-12-13 - 2009-12-19,+13%
2009-12-20 - 2009-12-26,+19%
2009-12-27 - 2010-01-02,+15%



Top searches
shoes,100
black,85
nike,75
white,65
flowers,60
dress,60
dresses,45
flower,45
costumes,40
pink,40
shirt,40
ipod,40
boots,35
bikini,35
halloween,35
men,30
xbox,30
jordan,30
jeans,30
birthday,25



Rising searches
dsi,+600%
vestidos,+150%
xbox 720,+130%
bakugan,+80%
blazers,+80%
flores,+60%
fox,+60%
skinny jeans,+60%
transformers,+60%
engagement rings,+50%



