News Search interest
United States; 2010

Interest over time
Week,Pets & Animals
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-17%
2010-01-17 - 2010-01-23,-19%
2010-01-24 - 2010-01-30,-19%
2010-01-31 - 2010-02-06,-13%
2010-02-07 - 2010-02-13,-23%
2010-02-14 - 2010-02-20,+89%
2010-02-21 - 2010-02-27,+8%
2010-02-28 - 2010-03-06,-15%
2010-03-07 - 2010-03-13,-9%
2010-03-14 - 2010-03-20,-8%
2010-03-21 - 2010-03-27,-19%
2010-03-28 - 2010-04-03,+2%
2010-04-04 - 2010-04-10,-11%
2010-04-11 - 2010-04-17,-13%
2010-04-18 - 2010-04-24,-13%
2010-04-25 - 2010-05-01,+0%
2010-05-02 - 2010-05-08,-19%
2010-05-09 - 2010-05-15,-8%
2010-05-16 - 2010-05-22,-23%
2010-05-23 - 2010-05-29,-21%
2010-05-30 - 2010-06-05,-13%
2010-06-06 - 2010-06-12,-19%
2010-06-13 - 2010-06-19,-28%
2010-06-20 - 2010-06-26,-21%
2010-06-27 - 2010-07-03,-11%
2010-07-04 - 2010-07-10,+17%
2010-07-11 - 2010-07-17,+4%
2010-07-18 - 2010-07-24,+13%
2010-07-25 - 2010-07-31,-17%
2010-08-01 - 2010-08-07,-23%
2010-08-08 - 2010-08-14,-30%
2010-08-15 - 2010-08-21,-25%
2010-08-22 - 2010-08-28,-8%
2010-08-29 - 2010-09-04,-15%
2010-09-05 - 2010-09-11,-6%
2010-09-12 - 2010-09-18,-17%
2010-09-19 - 2010-09-25,-13%
2010-09-26 - 2010-10-02,-26%
2010-10-03 - 2010-10-09,-26%
2010-10-10 - 2010-10-16,-21%
2010-10-17 - 2010-10-23,-15%
2010-10-24 - 2010-10-30,-21%
2010-10-31 - 2010-11-06,-36%
2010-11-07 - 2010-11-13,-8%
2010-11-14 - 2010-11-20,-11%
2010-11-21 - 2010-11-27,-13%
2010-11-28 - 2010-12-04,-9%
2010-12-05 - 2010-12-11,-6%
2010-12-12 - 2010-12-18,-13%
2010-12-19 - 2010-12-25,+2%
2010-12-26 - 2011-01-01,-11%



Top searches
dog,100
whale,30
dog show,30
animal,25
dogs,25
cat,25
zoo,20
shark,15
horse,15
westminster dog show,15
pet,15
birds,15
bears,15
cats,10
octopus,10
fish,10
peta,10
puppies,10
lion,10
bull,10



Rising searches
a whale,Breakout
angry birds,Breakout
fran mccaffery,Breakout
octopus,+400%
slaughter,+400%
whale,+250%
whaling,+250%
wildlife,+110%
lemurs,+90%
birds,+80%



