News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Games
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+16%
2008-01-20 - 2008-01-26,+0%
2008-01-27 - 2008-02-02,-11%
2008-02-03 - 2008-02-09,-21%
2008-02-10 - 2008-02-16,+26%
2008-02-17 - 2008-02-23,+79%
2008-02-24 - 2008-03-01,+42%
2008-03-02 - 2008-03-08,+32%
2008-03-09 - 2008-03-15,+121%
2008-03-16 - 2008-03-22,+100%
2008-03-23 - 2008-03-29,+26%
2008-03-30 - 2008-04-05,+21%
2008-04-06 - 2008-04-12,+11%
2008-04-13 - 2008-04-19,+16%
2008-04-20 - 2008-04-26,+32%
2008-04-27 - 2008-05-03,+426%
2008-05-04 - 2008-05-10,+300%
2008-05-11 - 2008-05-17,+53%
2008-05-18 - 2008-05-24,+126%
2008-05-25 - 2008-05-31,+68%
2008-06-01 - 2008-06-07,+158%
2008-06-08 - 2008-06-14,+111%
2008-06-15 - 2008-06-21,+26%
2008-06-22 - 2008-06-28,+63%
2008-06-29 - 2008-07-05,+137%
2008-07-06 - 2008-07-12,+53%
2008-07-13 - 2008-07-19,+121%
2008-07-20 - 2008-07-26,+26%
2008-07-27 - 2008-08-02,+16%
2008-08-03 - 2008-08-09,+0%
2008-08-10 - 2008-08-16,-16%
2008-08-17 - 2008-08-23,+16%
2008-08-24 - 2008-08-30,-11%
2008-08-31 - 2008-09-06,-16%
2008-09-07 - 2008-09-13,-16%
2008-09-14 - 2008-09-20,+53%
2008-09-21 - 2008-09-27,-5%
2008-09-28 - 2008-10-04,+26%
2008-10-05 - 2008-10-11,+5%
2008-10-12 - 2008-10-18,+37%
2008-10-19 - 2008-10-25,+74%
2008-10-26 - 2008-11-01,+74%
2008-11-02 - 2008-11-08,-11%
2008-11-09 - 2008-11-15,+105%
2008-11-16 - 2008-11-22,+89%
2008-11-23 - 2008-11-29,+63%
2008-11-30 - 2008-12-06,+63%
2008-12-07 - 2008-12-13,+84%
2008-12-14 - 2008-12-20,+79%
2008-12-21 - 2008-12-27,+84%
2008-12-28 - 2009-01-03,+37%
2009-01-04 - 2009-01-10,+63%
2009-01-11 - 2009-01-17,+42%
2009-01-18 - 2009-01-24,-5%
2009-01-25 - 2009-01-31,+53%
2009-02-01 - 2009-02-07,+37%
2009-02-08 - 2009-02-14,-5%
2009-02-15 - 2009-02-21,+74%
2009-02-22 - 2009-02-28,+63%
2009-03-01 - 2009-03-07,+68%
2009-03-08 - 2009-03-14,+37%
2009-03-15 - 2009-03-21,+32%
2009-03-22 - 2009-03-28,+32%
2009-03-29 - 2009-04-04,+32%
2009-04-05 - 2009-04-11,+58%
2009-04-12 - 2009-04-18,+26%
2009-04-19 - 2009-04-25,+26%
2009-04-26 - 2009-05-02,+153%
2009-05-03 - 2009-05-09,+105%
2009-05-10 - 2009-05-16,+37%
2009-05-17 - 2009-05-23,+32%
2009-05-24 - 2009-05-30,+63%
2009-05-31 - 2009-06-06,+63%
2009-06-07 - 2009-06-13,+11%
2009-06-14 - 2009-06-20,+0%
2009-06-21 - 2009-06-27,-11%
2009-06-28 - 2009-07-04,-5%
2009-07-05 - 2009-07-11,-5%
2009-07-12 - 2009-07-18,+0%
2009-07-19 - 2009-07-25,+0%
2009-07-26 - 2009-08-01,+11%
2009-08-02 - 2009-08-08,+32%
2009-08-09 - 2009-08-15,+26%
2009-08-16 - 2009-08-22,+63%
2009-08-23 - 2009-08-29,+111%
2009-08-30 - 2009-09-05,+32%
2009-09-06 - 2009-09-12,+11%
2009-09-13 - 2009-09-19,+5%
2009-09-20 - 2009-09-26,+26%
2009-09-27 - 2009-10-03,+11%
2009-10-04 - 2009-10-10,+11%
2009-10-11 - 2009-10-17,+16%
2009-10-18 - 2009-10-24,+11%
2009-10-25 - 2009-10-31,+16%
2009-11-01 - 2009-11-07,+21%
2009-11-08 - 2009-11-14,+68%
2009-11-15 - 2009-11-21,+21%
2009-11-22 - 2009-11-28,+5%
2009-11-29 - 2009-12-05,+0%
2009-12-06 - 2009-12-12,+0%
2009-12-13 - 2009-12-19,+16%
2009-12-20 - 2009-12-26,+11%
2009-12-27 - 2010-01-02,+11%
2010-01-03 - 2010-01-09,-5%
2010-01-10 - 2010-01-16,-5%
2010-01-17 - 2010-01-23,-11%
2010-01-24 - 2010-01-30,+32%
2010-01-31 - 2010-02-06,+16%
2010-02-07 - 2010-02-13,+37%
2010-02-14 - 2010-02-20,+5%
2010-02-21 - 2010-02-27,+21%
2010-02-28 - 2010-03-06,+42%
2010-03-07 - 2010-03-13,+21%
2010-03-14 - 2010-03-20,+11%
2010-03-21 - 2010-03-27,-5%
2010-03-28 - 2010-04-03,+11%
2010-04-04 - 2010-04-10,+0%
2010-04-11 - 2010-04-17,-5%
2010-04-18 - 2010-04-24,+0%
2010-04-25 - 2010-05-01,+84%
2010-05-02 - 2010-05-08,+42%
2010-05-09 - 2010-05-15,+0%
2010-05-16 - 2010-05-22,+16%
2010-05-23 - 2010-05-29,+11%
2010-05-30 - 2010-06-05,-11%
2010-06-06 - 2010-06-12,+5%
2010-06-13 - 2010-06-19,+37%
2010-06-20 - 2010-06-26,-11%
2010-06-27 - 2010-07-03,-26%
2010-07-04 - 2010-07-10,-11%
2010-07-11 - 2010-07-17,-26%
2010-07-18 - 2010-07-24,-26%
2010-07-25 - 2010-07-31,-5%
2010-08-01 - 2010-08-07,-26%
2010-08-08 - 2010-08-14,-26%
2010-08-15 - 2010-08-21,-11%
2010-08-22 - 2010-08-28,-21%
2010-08-29 - 2010-09-04,-26%
2010-09-05 - 2010-09-11,-11%
2010-09-12 - 2010-09-18,+0%
2010-09-19 - 2010-09-25,-11%
2010-09-26 - 2010-10-02,-16%
2010-10-03 - 2010-10-09,-11%
2010-10-10 - 2010-10-16,-5%
2010-10-17 - 2010-10-23,-5%
2010-10-24 - 2010-10-30,-5%
2010-10-31 - 2010-11-06,-21%
2010-11-07 - 2010-11-13,+11%
2010-11-14 - 2010-11-20,-5%
2010-11-21 - 2010-11-27,+0%
2010-11-28 - 2010-12-04,-11%
2010-12-05 - 2010-12-11,+0%
2010-12-12 - 2010-12-18,+11%
2010-12-19 - 2010-12-25,+0%
2010-12-26 - 2011-01-01,+26%
2011-01-02 - 2011-01-08,+68%
2011-01-09 - 2011-01-15,+0%
2011-01-16 - 2011-01-22,+16%
2011-01-23 - 2011-01-29,+21%
2011-01-30 - 2011-02-05,+16%
2011-02-06 - 2011-02-12,+16%
2011-02-13 - 2011-02-19,+11%
2011-02-20 - 2011-02-26,+11%
2011-02-27 - 2011-03-05,+16%
2011-03-06 - 2011-03-12,+5%
2011-03-13 - 2011-03-19,+11%
2011-03-20 - 2011-03-26,+32%
2011-03-27 - 2011-04-02,+26%
2011-04-03 - 2011-04-09,+11%
2011-04-10 - 2011-04-16,+37%
2011-04-17 - 2011-04-23,+95%
2011-04-24 - 2011-04-30,+105%
2011-05-01 - 2011-05-07,+132%
2011-05-08 - 2011-05-14,+111%
2011-05-15 - 2011-05-21,+68%
2011-05-22 - 2011-05-28,+42%
2011-05-29 - 2011-06-04,+79%
2011-06-05 - 2011-06-11,+100%
2011-06-12 - 2011-06-18,+37%
2011-06-19 - 2011-06-25,+16%
2011-06-26 - 2011-07-02,+26%
2011-07-03 - 2011-07-09,+26%
2011-07-10 - 2011-07-16,+26%
2011-07-17 - 2011-07-23,+26%
2011-07-24 - 2011-07-30,+16%
2011-07-31 - 2011-08-06,+32%
2011-08-07 - 2011-08-13,+26%
2011-08-14 - 2011-08-20,+26%
2011-08-21 - 2011-08-27,+11%
2011-08-28 - 2011-09-03,+21%
2011-09-04 - 2011-09-10,+26%
2011-09-11 - 2011-09-17,+32%
2011-09-18 - 2011-09-24,+32%
