Web Search interest
United States; Past 7 days

Interest over time
Day,Computers & Electronics
2014-09-11,+0%
2014-09-12,+1%
2014-09-13,-15%
2014-09-14,-14%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
apple,100
google,85
mac,45
xbox,35
chrome,35
samsung,30
hp,30
microsoft,25
drive,25
excel,25
iphone 6,25
apple store,25
itunes,20
docs,20
paypal,20
java,20
amazon,20
google docs,20
ipad,20
adobe,20



Rising searches
iphone 6 plus,+550%
apple pay,+250%
destiny,+120%
otterbox,+100%
iphone 6,+90%
apple store,+70%
ios 8,+70%
t mobile,+70%
apple iwatch,+60%
soa,+60%



