Web Search interest
United States; 2004

Interest over time
Week,Finance
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+0%
2004-01-18 - 2004-01-24,+2%
2004-01-25 - 2004-01-31,+1%
2004-02-01 - 2004-02-07,+2%
2004-02-08 - 2004-02-14,+2%
2004-02-15 - 2004-02-21,+0%
2004-02-22 - 2004-02-28,+2%
2004-02-29 - 2004-03-06,+3%
2004-03-07 - 2004-03-13,+1%
2004-03-14 - 2004-03-20,-2%
2004-03-21 - 2004-03-27,-5%
2004-03-28 - 2004-04-03,+1%
2004-04-04 - 2004-04-10,+3%
2004-04-11 - 2004-04-17,+15%
2004-04-18 - 2004-04-24,-10%
2004-04-25 - 2004-05-01,-9%
2004-05-02 - 2004-05-08,-9%
2004-05-09 - 2004-05-15,-10%
2004-05-16 - 2004-05-22,-13%
2004-05-23 - 2004-05-29,-10%
2004-05-30 - 2004-06-05,-7%
2004-06-06 - 2004-06-12,-9%
2004-06-13 - 2004-06-19,-6%
2004-06-20 - 2004-06-26,-6%
2004-06-27 - 2004-07-03,-3%
2004-07-04 - 2004-07-10,-7%
2004-07-11 - 2004-07-17,-3%
2004-07-18 - 2004-07-24,-6%
2004-07-25 - 2004-07-31,-3%
2004-08-01 - 2004-08-07,-2%
2004-08-08 - 2004-08-14,-7%
2004-08-15 - 2004-08-21,-1%
2004-08-22 - 2004-08-28,-6%
2004-08-29 - 2004-09-04,-9%
2004-09-05 - 2004-09-11,-14%
2004-09-12 - 2004-09-18,-14%
2004-09-19 - 2004-09-25,-13%
2004-09-26 - 2004-10-02,-11%
2004-10-03 - 2004-10-09,-10%
2004-10-10 - 2004-10-16,-11%
2004-10-17 - 2004-10-23,-15%
2004-10-24 - 2004-10-30,-3%
2004-10-31 - 2004-11-06,-13%
2004-11-07 - 2004-11-13,-16%
2004-11-14 - 2004-11-20,-10%
2004-11-21 - 2004-11-27,-20%
2004-11-28 - 2004-12-04,-5%
2004-12-05 - 2004-12-11,-13%
2004-12-12 - 2004-12-18,-7%
2004-12-19 - 2004-12-25,-16%
2004-12-26 - 2005-01-01,-3%



Top searches
bank,100
insurance,70
mortgage,40
tax,35
currency,20
loans,20
bank america,20
bank of america,15
irs,15
credit card,15
money,10
american express,10
wells fargo,10
chase,10
mortgage calculator,10
fafsa,10
health insurance,10
credit report,10
blue cross,10
taxes,5



Rising searches
ashlee simpson snl,Breakout
oil prices,+250%
google stock,+140%
payday loans,+50%
aia,+40%
ameriquest,+40%
amex,+40%
countrywide home loans,+40%
credit score,+40%
franklin county auditor,+40%



