News Search interest
United States; Past 30 days

Interest over time
Day,Pets & Animals
2014-08-19,+0%
2014-08-20,-2%
2014-08-21,-5%
2014-08-22,-6%
2014-08-23,+15%
2014-08-24,+3%
2014-08-25,+52%
2014-08-26,+11%
2014-08-27,-8%
2014-08-28,-2%
2014-08-29,-5%
2014-08-30,+11%
2014-08-31,+2%
2014-09-01,-2%
2014-09-02,-20%
2014-09-03,-17%
2014-09-04,-5%
2014-09-05,-8%
2014-09-06,+15%
2014-09-07,+5%
2014-09-08,-9%
2014-09-09,-23%
2014-09-10,-9%
2014-09-11,-9%
2014-09-12,-6%
2014-09-13,-6%
2014-09-14,+9%
2014-09-15,-14%
2014-09-16,-9%
2014-09-17, 
2014-09-18, 



Top searches
dog,100
dogs,55
richard attenborough,45
cat,45
animal,35
zoo,35
shark,30
fish,25
birds,20
pet,20
lion,20
cats,20
snake,15
bird,15
anaconda,15
puppies,15
dinosaurs,15
puppy,15
pitbull,15
horse,10



Rising searches
mountain lion,Breakout
richard attenborough,Breakout
dolphin,+110%
anaconda,+100%
lion,+100%
lions,+40%
snake,+40%



