Web Search interest
United States; Past 30 days

Interest over time
Day,Food & Drink
2014-08-18,+0%
2014-08-19,+1%
2014-08-20,+0%
2014-08-21,+1%
2014-08-22,+8%
2014-08-23,+27%
2014-08-24,+32%
2014-08-25,-3%
2014-08-26,-4%
2014-08-27,-4%
2014-08-28,-1%
2014-08-29,+8%
2014-08-30,+32%
2014-08-31,+35%
2014-09-01,+23%
2014-09-02,-8%
2014-09-03,-7%
2014-09-04,-8%
2014-09-05,-1%
2014-09-06,+22%
2014-09-07,+27%
2014-09-08,-3%
2014-09-09,-9%
2014-09-10,-4%
2014-09-11,-4%
2014-09-12,+3%
2014-09-13,+26%
2014-09-14,+27%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
pizza,100
recipes,90
restaurant,65
food,60
restaurants,55
pizza hut,35
chocolate,25
coffee,25
dominos,25
yelp,20
starbucks,20
papa johns,20
mcdonalds,20
ice cream,15
jimmy johns,10
chipotle,10
chicken recipes,10
panera,10
taco bell,10
olive garden,10



Rising searches
braxton miller,+950%
tim hortons,+130%
annabelle,+70%
apple pie recipe,+70%
buffalo chicken dip,+70%
chili recipe,+70%
blended,+60%
chili,+60%
dominoes pizza,+60%
dominoes,+50%



