YouTube Search interest
United States; 2011

Interest over time
Week,Law & Government
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-5%
2011-01-16 - 2011-01-22,-11%
2011-01-23 - 2011-01-29,-5%
2011-01-30 - 2011-02-05,-15%
2011-02-06 - 2011-02-12,-17%
2011-02-13 - 2011-02-19,-17%
2011-02-20 - 2011-02-26,-13%
2011-02-27 - 2011-03-05,-13%
2011-03-06 - 2011-03-12,-15%
2011-03-13 - 2011-03-19,-16%
2011-03-20 - 2011-03-26,-15%
2011-03-27 - 2011-04-02,-16%
2011-04-03 - 2011-04-09,-13%
2011-04-10 - 2011-04-16,-15%
2011-04-17 - 2011-04-23,-13%
2011-04-24 - 2011-04-30,+7%
2011-05-01 - 2011-05-07,+15%
2011-05-08 - 2011-05-14,-11%
2011-05-15 - 2011-05-21,-15%
2011-05-22 - 2011-05-28,-15%
2011-05-29 - 2011-06-04,-17%
2011-06-05 - 2011-06-11,-18%
2011-06-12 - 2011-06-18,-23%
2011-06-19 - 2011-06-25,-20%
2011-06-26 - 2011-07-02,-20%
2011-07-03 - 2011-07-09,-16%
2011-07-10 - 2011-07-16,-20%
2011-07-17 - 2011-07-23,-21%
2011-07-24 - 2011-07-30,-17%
2011-07-31 - 2011-08-06,-21%
2011-08-07 - 2011-08-13,-13%
2011-08-14 - 2011-08-20,-14%
2011-08-21 - 2011-08-27,-11%
2011-08-28 - 2011-09-03,-14%
2011-09-04 - 2011-09-10,-9%
2011-09-11 - 2011-09-17,-13%
2011-09-18 - 2011-09-24,-11%
2011-09-25 - 2011-10-01,-10%
2011-10-02 - 2011-10-08,-10%
2011-10-09 - 2011-10-15,-14%
2011-10-16 - 2011-10-22,-1%
2011-10-23 - 2011-10-29,-7%
2011-10-30 - 2011-11-05,+9%
2011-11-06 - 2011-11-12,-2%
2011-11-13 - 2011-11-19,-8%
2011-11-20 - 2011-11-26,-7%
2011-11-27 - 2011-12-03,-13%
2011-12-04 - 2011-12-10,+2%
2011-12-11 - 2011-12-17,-2%
2011-12-18 - 2011-12-24,-9%
2011-12-25 - 2011-12-31,-16%



Top searches
obama,100
police,100
black ops,85
childish gambino,70
fire,65
army,55
marine,40
military,35
shooting,30
rick perry,25
marines,25
tigres del norte,25
obama speech,25
poison,20
royal wedding,20
air force,20
runaway,20
jail,20
bush,20
otis,20



Rising searches
freaks and geeks,Breakout
gaddafi,Breakout
rick perry,Breakout
scotty mccreery,Breakout
royal wedding,+4,450%
childish gambino,+3,300%
otis,+2,750%
obama speech,+100%
schoolhouse rock,+100%
black ops,+80%



