Web Search interest
United States; Past 7 days

Interest over time
Day,Beauty & Fitness
2014-09-11,+0%
2014-09-12,+3%
2014-09-13,+10%
2014-09-14,+7%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
hair,100
tattoo,35
tattoos,25
face,25
yoga,20
hairstyles,20
nails,20
crossfit,10
gym,10
haircuts,10
haircut,5
exercise,5
ulta,5
sephora,5
mac,5
braids,5
bodybuilding,5
short hairstyles,5
louis vuitton,5
planet fitness,5



Rising searches
biggest loser,+650%
finding fanny,+600%
miss america 2014,+500%
miss america 2015,+450%
miss america,+350%
anna wintour,+250%
diva cup,+200%
extreme weight loss,+70%
marc jacobs,+60%
rodan and fields,+60%



