News Search interest
United States; Past 90 days

Interest over time
Day,Computers & Electronics
2014-06-19,+0%
2014-06-20,-2%
2014-06-21,-5%
2014-06-22,-9%
2014-06-23,-5%
2014-06-24,-7%
2014-06-25,-7%
2014-06-26,-13%
2014-06-27,-9%
2014-06-28,-15%
2014-06-29,-20%
2014-06-30,-13%
2014-07-01,-11%
2014-07-02,-11%
2014-07-03,-9%
2014-07-04,-16%
2014-07-05,-22%
2014-07-06,-16%
2014-07-07,-4%
2014-07-08,-11%
2014-07-09,-13%
2014-07-10,-11%
2014-07-11,-13%
2014-07-12,-20%
2014-07-13,-24%
2014-07-14,-9%
2014-07-15,+0%
2014-07-16,+9%
2014-07-17,+15%
2014-07-18,+16%
2014-07-19,+0%
2014-07-20,+0%
2014-07-21,+2%
2014-07-22,+0%
2014-07-23,+5%
2014-07-24,+7%
2014-07-25,+9%
2014-07-26,-4%
2014-07-27,-7%
2014-07-28,+18%
2014-07-29,+13%
2014-07-30,+15%
2014-07-31,+9%
2014-08-01,-9%
2014-08-02,-15%
2014-08-03,-18%
2014-08-04,-7%
2014-08-05,-7%
2014-08-06,-2%
2014-08-07,-4%
2014-08-08,-11%
2014-08-09,-16%
2014-08-10,-16%
2014-08-11,-13%
2014-08-12,-9%
2014-08-13,+0%
2014-08-14,-4%
2014-08-15,-9%
2014-08-16,-20%
2014-08-17,-16%
2014-08-18,-4%
2014-08-19,-4%
2014-08-20,-11%
2014-08-21,-9%
2014-08-22,-7%
2014-08-23,-15%
2014-08-24,-9%
2014-08-25,+2%
2014-08-26,-4%
2014-08-27,+4%
2014-08-28,+4%
2014-08-29,-4%
2014-08-30,-7%
2014-08-31,-15%
2014-09-01,-9%
2014-09-02,+4%
2014-09-03,+22%
2014-09-04,+4%
2014-09-05,-2%
2014-09-06,-2%
2014-09-07,-9%
2014-09-08,-2%
2014-09-09,+82%
2014-09-10,+29%
2014-09-11,+13%
2014-09-12,+27%
2014-09-13,+0%
2014-09-14,-7%
2014-09-15,+13%
2014-09-16,+16%
2014-09-17, 
2014-09-18, 



Top searches
apple,100
xbox,60
microsoft,50
galaxy,40
iphone,35
xbox one,35
ps4,35
microsoft corporation,30
samsung,30
google,25
windows,25
playstation,20
apple inc.,15
ios,15
nintendo,15
ipad,15
tablet,15
galaxy s5,15
ibm,15
free,15



Rising searches
apple inc.,+3,000%
galaxy note 4,+300%
iphone 6,+150%
iphone,+110%
ipod,+100%
macbook pro,+100%
microsoft corporation,+100%
ios 8,+90%
alibaba,+70%
3ds,+60%



