YouTube Search interest
United States; Past 30 days

Interest over time
Day,Jobs & Education
2014-08-20,+0%
2014-08-21,+2%
2014-08-22,+4%
2014-08-23,-9%
2014-08-24,-12%
2014-08-25,+7%
2014-08-26,+11%
2014-08-27,+14%
2014-08-28,+14%
2014-08-29,+7%
2014-08-30,-12%
2014-08-31,-7%
2014-09-01,-6%
2014-09-02,+19%
2014-09-03,+19%
2014-09-04,+20%
2014-09-05,+16%
2014-09-06,-5%
2014-09-07,-3%
2014-09-08,+25%
2014-09-09,+25%
2014-09-10,+18%
2014-09-11,+15%
2014-09-12,+13%
2014-09-13,-7%
2014-09-14,-6%
2014-09-15,+19%
2014-09-16,+25%
2014-09-17,+25%
2014-09-18, 
2014-09-19, 



Top searches
school,100
high,50
guitar,35
high school,30
college,30
abc,25
vanoss,25
summer,20
interview,20
abc song,20
schoolhouse rock,15
alphabet,15
substitute teacher,15
studying music,15
music for studying,15
study music,10
back to school,10
middle school,10
classical music,10
key and peele,10



Rising searches
als,+900%
brain breaks,+400%
harry kindergarten,+350%
have fun teaching,+300%
kindergarten songs,+250%
schoolhouse rock,+250%
classical music,+160%
music for studying,+140%
studying music,+140%
notre dame,+130%



