News Search interest
United States; 2010

Interest over time
Week,Jobs & Education
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-6%
2010-01-17 - 2010-01-23,-12%
2010-01-24 - 2010-01-30,+6%
2010-01-31 - 2010-02-06,+10%
2010-02-07 - 2010-02-13,+12%
2010-02-14 - 2010-02-20,+33%
2010-02-21 - 2010-02-27,+22%
2010-02-28 - 2010-03-06,+14%
2010-03-07 - 2010-03-13,+17%
2010-03-14 - 2010-03-20,+26%
2010-03-21 - 2010-03-27,+10%
2010-03-28 - 2010-04-03,+4%
2010-04-04 - 2010-04-10,+1%
2010-04-11 - 2010-04-17,+14%
2010-04-18 - 2010-04-24,-6%
2010-04-25 - 2010-05-01,-9%
2010-05-02 - 2010-05-08,-4%
2010-05-09 - 2010-05-15,+1%
2010-05-16 - 2010-05-22,-6%
2010-05-23 - 2010-05-29,-16%
2010-05-30 - 2010-06-05,-20%
2010-06-06 - 2010-06-12,+6%
2010-06-13 - 2010-06-19,-13%
2010-06-20 - 2010-06-26,-29%
2010-06-27 - 2010-07-03,-20%
2010-07-04 - 2010-07-10,-42%
2010-07-11 - 2010-07-17,-33%
2010-07-18 - 2010-07-24,-28%
2010-07-25 - 2010-07-31,-17%
2010-08-01 - 2010-08-07,-1%
2010-08-08 - 2010-08-14,-14%
2010-08-15 - 2010-08-21,+19%
2010-08-22 - 2010-08-28,-1%
2010-08-29 - 2010-09-04,+3%
2010-09-05 - 2010-09-11,+42%
2010-09-12 - 2010-09-18,+25%
2010-09-19 - 2010-09-25,+23%
2010-09-26 - 2010-10-02,+45%
2010-10-03 - 2010-10-09,+19%
2010-10-10 - 2010-10-16,+6%
2010-10-17 - 2010-10-23,+20%
2010-10-24 - 2010-10-30,+23%
2010-10-31 - 2010-11-06,+1%
2010-11-07 - 2010-11-13,+22%
2010-11-14 - 2010-11-20,+23%
2010-11-21 - 2010-11-27,+14%
2010-11-28 - 2010-12-04,+26%
2010-12-05 - 2010-12-11,+25%
2010-12-12 - 2010-12-18,+26%
2010-12-19 - 2010-12-25,-7%
2010-12-26 - 2011-01-01,-10%



Top searches
university,100
school,85
college,45
jobs,35
education,30
notre dame,15
amy bishop,10
teacher,10
byu,10
job,5
boise state,5
rutgers,5
usc,5
harvard,5
proposition 19,5
teachers,5
stanford,5
nebraska,5
boise state university,5
tcu,5



Rising searches
amy bishop,Breakout
boise state university,Breakout
proposition 19,Breakout
boise state,+1,100%
rutgers,+300%
byu,+250%
tcu,+250%
education,+90%
nebraska,+80%
university,+80%



