YouTube Search interest
United States; 2012

Interest over time
Week,Jobs & Education
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+3%
2012-01-15 - 2012-01-21,+8%
2012-01-22 - 2012-01-28,+7%
2012-01-29 - 2012-02-04,+11%
2012-02-05 - 2012-02-11,+11%
2012-02-12 - 2012-02-18,+8%
2012-02-19 - 2012-02-25,+10%
2012-02-26 - 2012-03-03,+8%
2012-03-04 - 2012-03-10,+8%
2012-03-11 - 2012-03-17,+12%
2012-03-18 - 2012-03-24,+11%
2012-03-25 - 2012-03-31,+7%
2012-04-01 - 2012-04-07,+7%
2012-04-08 - 2012-04-14,+10%
2012-04-15 - 2012-04-21,+10%
2012-04-22 - 2012-04-28,+14%
2012-04-29 - 2012-05-05,+10%
2012-05-06 - 2012-05-12,+16%
2012-05-13 - 2012-05-19,+16%
2012-05-20 - 2012-05-26,+16%
2012-05-27 - 2012-06-02,+8%
2012-06-03 - 2012-06-09,+10%
2012-06-10 - 2012-06-16,+7%
2012-06-17 - 2012-06-23,+7%
2012-06-24 - 2012-06-30,+4%
2012-07-01 - 2012-07-07,-3%
2012-07-08 - 2012-07-14,+0%
2012-07-15 - 2012-07-21,+1%
2012-07-22 - 2012-07-28,+1%
2012-07-29 - 2012-08-04,+1%
2012-08-05 - 2012-08-11,+3%
2012-08-12 - 2012-08-18,+12%
2012-08-19 - 2012-08-25,+16%
2012-08-26 - 2012-09-01,+27%
2012-09-02 - 2012-09-08,+25%
2012-09-09 - 2012-09-15,+27%
2012-09-16 - 2012-09-22,+25%
2012-09-23 - 2012-09-29,+30%
2012-09-30 - 2012-10-06,+30%
2012-10-07 - 2012-10-13,+37%
2012-10-14 - 2012-10-20,+27%
2012-10-21 - 2012-10-27,+27%
2012-10-28 - 2012-11-03,+23%
2012-11-04 - 2012-11-10,+25%
2012-11-11 - 2012-11-17,+29%
2012-11-18 - 2012-11-24,+21%
2012-11-25 - 2012-12-01,+32%
2012-12-02 - 2012-12-08,+29%
2012-12-09 - 2012-12-15,+29%
2012-12-16 - 2012-12-22,+18%
2012-12-23 - 2012-12-29,+3%
2012-12-30 - 2013-01-05,+12%



Top searches
school,100
high,70
high school,45
college,25
abc,15
harvard,15
monster high,15
abc song,15
guitar lesson,15
fights,10
mgk,10
school fights,10
schoolhouse rock,10
harvard baseball,10
guitar lessons,10
school fight,10
alphabet,5
test,5
phoenix,5
substitute teacher,5



Rising searches
harvard baseball,Breakout
key and peele,Breakout
jeremy lin,+4,650%
substitute teacher,+3,100%
mgk,+200%
harvard,+170%
monster high,+120%
kindergarten,+40%
math,+40%
schoolhouse rock,+40%



