News Search interest
United States; Past 90 days

Interest over time
Day,Travel
2014-06-19,+0%
2014-06-20,-2%
2014-06-21,+2%
2014-06-22,-2%
2014-06-23,+10%
2014-06-24,+17%
2014-06-25,+7%
2014-06-26,-5%
2014-06-27,+10%
2014-06-28,+12%
2014-06-29,+2%
2014-06-30,+5%
2014-07-01,-2%
2014-07-02,+2%
2014-07-03,+7%
2014-07-04,+15%
2014-07-05,+5%
2014-07-06,+2%
2014-07-07,+7%
2014-07-08,+22%
2014-07-09,+20%
2014-07-10,-2%
2014-07-11,+0%
2014-07-12,+7%
2014-07-13,+0%
2014-07-14,+7%
2014-07-15,+5%
2014-07-16,+2%
2014-07-17,+144%
2014-07-18,+88%
2014-07-19,+46%
2014-07-20,+37%
2014-07-21,+22%
2014-07-22,+20%
2014-07-23,+27%
2014-07-24,+27%
2014-07-25,+15%
2014-07-26,+12%
2014-07-27,+7%
2014-07-28,+10%
2014-07-29,+5%
2014-07-30,+0%
2014-07-31,-5%
2014-08-01,-2%
2014-08-02,-2%
2014-08-03,-2%
2014-08-04,+10%
2014-08-05,+7%
2014-08-06,+10%
2014-08-07,+32%
2014-08-08,+71%
2014-08-09,+39%
2014-08-10,+20%
2014-08-11,-7%
2014-08-12,-20%
2014-08-13,-7%
2014-08-14,-10%
2014-08-15,-2%
2014-08-16,-12%
2014-08-17,-7%
2014-08-18,-7%
2014-08-19,-5%
2014-08-20,+2%
2014-08-21,-12%
2014-08-22,-12%
2014-08-23,-12%
2014-08-24,-7%
2014-08-25,-12%
2014-08-26,-10%
2014-08-27,-2%
2014-08-28,+0%
2014-08-29,-10%
2014-08-30,-7%
2014-08-31,-10%
2014-09-01,-17%
2014-09-02,-15%
2014-09-03,-10%
2014-09-04,-17%
2014-09-05,-5%
2014-09-06,-7%
2014-09-07,-22%
2014-09-08,-5%
2014-09-09,-7%
2014-09-10,-17%
2014-09-11,-15%
2014-09-12,-17%
2014-09-13,-20%
2014-09-14,-22%
2014-09-15,-17%
2014-09-16,-2%
2014-09-17, 
2014-09-18, 



Top searches
airlines,100
malaysia airlines,40
flight,35
vegas,30
airport,30
hawaii,25
las vegas,25
hotel,20
united,15
barcelona,15
southwest,15
mh17,15
brazil,15
hotels,15
boeing,15
bus,15
southwest airlines,15
delta,10
airline,10
malaysia flight,10



Rising searches
mh17,Breakout
brazil,+250%
hawaii,+200%
barcelona,+150%
southwest airlines,+80%
united,+80%
boeing,+70%
bus,+70%
hotel,+70%
hotels,+60%



