YouTube Search interest
United States; 2008

Interest over time
Week,Law & Government
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-13%
2008-01-20 - 2008-01-26,-11%
2008-01-27 - 2008-02-02,-2%
2008-02-03 - 2008-02-09,+5%
2008-02-10 - 2008-02-16,+3%
2008-02-17 - 2008-02-23,+2%
2008-02-24 - 2008-03-01,-2%
2008-03-02 - 2008-03-08,-5%
2008-03-09 - 2008-03-15,-7%
2008-03-16 - 2008-03-22,+8%
2008-03-23 - 2008-03-29,+2%
2008-03-30 - 2008-04-05,-8%
2008-04-06 - 2008-04-12,-11%
2008-04-13 - 2008-04-19,-8%
2008-04-20 - 2008-04-26,-11%
2008-04-27 - 2008-05-03,-11%
2008-05-04 - 2008-05-10,-7%
2008-05-11 - 2008-05-17,-13%
2008-05-18 - 2008-05-24,-10%
2008-05-25 - 2008-05-31,-15%
2008-06-01 - 2008-06-07,-8%
2008-06-08 - 2008-06-14,-16%
2008-06-15 - 2008-06-21,-21%
2008-06-22 - 2008-06-28,-26%
2008-06-29 - 2008-07-05,-21%
2008-07-06 - 2008-07-12,-21%
2008-07-13 - 2008-07-19,-23%
2008-07-20 - 2008-07-26,-23%
2008-07-27 - 2008-08-02,-18%
2008-08-03 - 2008-08-09,-23%
2008-08-10 - 2008-08-16,-26%
2008-08-17 - 2008-08-23,-25%
2008-08-24 - 2008-08-30,-2%
2008-08-31 - 2008-09-06,-11%
2008-09-07 - 2008-09-13,-10%
2008-09-14 - 2008-09-20,-16%
2008-09-21 - 2008-09-27,-13%
2008-09-28 - 2008-10-04,-5%
2008-10-05 - 2008-10-11,-10%
2008-10-12 - 2008-10-18,-5%
2008-10-19 - 2008-10-25,-3%
2008-10-26 - 2008-11-01,+15%
2008-11-02 - 2008-11-08,+64%
2008-11-09 - 2008-11-15,+5%
2008-11-16 - 2008-11-22,-8%
2008-11-23 - 2008-11-29,-16%
2008-11-30 - 2008-12-06,-15%
2008-12-07 - 2008-12-13,-20%
2008-12-14 - 2008-12-20,-13%
2008-12-21 - 2008-12-27,-23%
2008-12-28 - 2009-01-03,-25%



Top searches
obama,100
obama obama,100
barack,25
police,25
barack obama,25
bush,15
gang,15
obama speech,15
fire,15
army,10
marine,10
bloods,10
blood,10
crips,10
gangs,10
navy,10
marines,5
shooting,5
military,5
obama girl,5



Rising searches
obama song,Breakout
yes we can,Breakout
obama speech,+3,400%
mccain,+1,850%
biden,+600%
obama,+600%
obama obama,+600%
barack,+500%
barack obama,+500%
gangland,+400%



