Web Search interest
United States; Past 90 days

Interest over time
Day,Travel
2014-06-18,+0%
2014-06-19,+0%
2014-06-20,+4%
2014-06-21,+1%
2014-06-22,+1%
2014-06-23,+0%
2014-06-24,+0%
2014-06-25,+1%
2014-06-26,-2%
2014-06-27,+3%
2014-06-28,+3%
2014-06-29,+6%
2014-06-30,-1%
2014-07-01,+0%
2014-07-02,+3%
2014-07-03,+9%
2014-07-04,+11%
2014-07-05,+9%
2014-07-06,+4%
2014-07-07,+6%
2014-07-08,+3%
2014-07-09,+1%
2014-07-10,+0%
2014-07-11,+3%
2014-07-12,+7%
2014-07-13,+2%
2014-07-14,+6%
2014-07-15,+1%
2014-07-16,+2%
2014-07-17,+11%
2014-07-18,+10%
2014-07-19,+9%
2014-07-20,+7%
2014-07-21,+4%
2014-07-22,+3%
2014-07-23,+3%
2014-07-24,+1%
2014-07-25,+2%
2014-07-26,+3%
2014-07-27,+4%
2014-07-28,+1%
2014-07-29,+1%
2014-07-30,+0%
2014-07-31,-2%
2014-08-01,+1%
2014-08-02,+2%
2014-08-03,-1%
2014-08-04,+1%
2014-08-05,-2%
2014-08-06,+1%
2014-08-07,+0%
2014-08-08,-1%
2014-08-09,+2%
2014-08-10,+0%
2014-08-11,-8%
2014-08-12,-11%
2014-08-13,-7%
2014-08-14,-8%
2014-08-15,-7%
2014-08-16,-4%
2014-08-17,-3%
2014-08-18,-7%
2014-08-19,-10%
2014-08-20,-9%
2014-08-21,-11%
2014-08-22,-10%
2014-08-23,-8%
2014-08-24,-9%
2014-08-25,-12%
2014-08-26,-11%
2014-08-27,-13%
2014-08-28,-9%
2014-08-29,-9%
2014-08-30,-7%
2014-08-31,-7%
2014-09-01,-13%
2014-09-02,-18%
2014-09-03,-19%
2014-09-04,-16%
2014-09-05,-19%
2014-09-06,-17%
2014-09-07,-21%
2014-09-08,-20%
2014-09-09,-21%
2014-09-10,-21%
2014-09-11,-20%
2014-09-12,-20%
2014-09-13,-20%
2014-09-14,-21%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
beach,100
hotels,90
flights,60
southwest,60
las vegas,60
flight,55
united,40
car rental,35
southwest airlines,35
delta,35
disney,35
united airlines,30
expedia,25
marriott,25
american airlines,25
hilton,25
enterprise,20
cheap flights,20
six flags,20
amtrak,20



Rising searches
mh17,Breakout
snapple save,Breakout
jansport,+300%
backpacks,+180%
hurricane harbor,+160%
dorney park,+130%
schlitterbahn,+80%
hershey park,+60%
cedar point,+50%
metro north schedule,+50%



