YouTube Search interest
United States; Past 12 months

Interest over time
Week,News
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-2%
2013-09-29 - 2013-10-05,+5%
2013-10-06 - 2013-10-12,+1%
2013-10-13 - 2013-10-19,-11%
2013-10-20 - 2013-10-26,-16%
2013-10-27 - 2013-11-02,-17%
2013-11-03 - 2013-11-09,-20%
2013-11-10 - 2013-11-16,-15%
2013-11-17 - 2013-11-23,-16%
2013-11-24 - 2013-11-30,-13%
2013-12-01 - 2013-12-07,-3%
2013-12-08 - 2013-12-14,-16%
2013-12-15 - 2013-12-21,-14%
2013-12-22 - 2013-12-28,-15%
2013-12-29 - 2014-01-04,-12%
2014-01-05 - 2014-01-11,-15%
2014-01-12 - 2014-01-18,-15%
2014-01-19 - 2014-01-25,-18%
2014-01-26 - 2014-02-01,-15%
2014-02-02 - 2014-02-08,-18%
2014-02-09 - 2014-02-15,-16%
2014-02-16 - 2014-02-22,-21%
2014-02-23 - 2014-03-01,-20%
2014-03-02 - 2014-03-08,-8%
2014-03-09 - 2014-03-15,-19%
2014-03-16 - 2014-03-22,-19%
2014-03-23 - 2014-03-29,-23%
2014-03-30 - 2014-04-05,-23%
2014-04-06 - 2014-04-12,-26%
2014-04-13 - 2014-04-19,-24%
2014-04-20 - 2014-04-26,-26%
2014-04-27 - 2014-05-03,-25%
2014-05-04 - 2014-05-10,-26%
2014-05-11 - 2014-05-17,-13%
2014-05-18 - 2014-05-24,-20%
2014-05-25 - 2014-05-31,-25%
2014-06-01 - 2014-06-07,-27%
2014-06-08 - 2014-06-14,-24%
2014-06-15 - 2014-06-21,-27%
2014-06-22 - 2014-06-28,-29%
2014-06-29 - 2014-07-05,-31%
2014-07-06 - 2014-07-12,-27%
2014-07-13 - 2014-07-19,-27%
2014-07-20 - 2014-07-26,-29%
2014-07-27 - 2014-08-02,-29%
2014-08-03 - 2014-08-09,-29%
2014-08-10 - 2014-08-16,-29%
2014-08-17 - 2014-08-23,-27%
2014-08-24 - 2014-08-30,-33%
2014-08-31 - 2014-09-06,-33%
2014-09-07 - 2014-09-13,-26%
2014-09-14 - 2014-09-20,-28%



Top searches
miley cyrus,100
wrecking ball,40
beyonce,35
news,30
ellen,25
drunk in love,25
chief keef,15
ellen degeneres,15
23,15
miley 23,15
miley cyrus 23,10
rihanna,10
britney spears,10
idina menzel,10
say something,5
jennifer lopez,5
survival,5
espn,5
ellen show,5
stevie wonder,5



Rising searches
drunk in love,Breakout
miley 23,Breakout
miley cyrus 23,Breakout
wrecking ball,+3,950%
paul walker,+3,450%
23,+2,650%
idina menzel,+1,050%
say something,+1,050%
beyonce,+400%
james franco,+300%



