News Search interest
United States; 2013

Interest over time
Week,Finance
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-22%
2013-01-20 - 2013-01-26,-18%
2013-01-27 - 2013-02-02,+7%
2013-02-03 - 2013-02-09,-7%
2013-02-10 - 2013-02-16,-19%
2013-02-17 - 2013-02-23,-2%
2013-02-24 - 2013-03-02,-16%
2013-03-03 - 2013-03-09,+8%
2013-03-10 - 2013-03-16,-19%
2013-03-17 - 2013-03-23,-20%
2013-03-24 - 2013-03-30,-23%
2013-03-31 - 2013-04-06,-26%
2013-04-07 - 2013-04-13,-13%
2013-04-14 - 2013-04-20,-13%
2013-04-21 - 2013-04-27,-12%
2013-04-28 - 2013-05-04,-6%
2013-05-05 - 2013-05-11,-1%
2013-05-12 - 2013-05-18,+11%
2013-05-19 - 2013-05-25,-3%
2013-05-26 - 2013-06-01,-22%
2013-06-02 - 2013-06-08,-18%
2013-06-09 - 2013-06-15,-24%
2013-06-16 - 2013-06-22,-22%
2013-06-23 - 2013-06-29,-22%
2013-06-30 - 2013-07-06,-29%
2013-07-07 - 2013-07-13,-24%
2013-07-14 - 2013-07-20,-29%
2013-07-21 - 2013-07-27,-27%
2013-07-28 - 2013-08-03,-21%
2013-08-04 - 2013-08-10,-22%
2013-08-11 - 2013-08-17,-20%
2013-08-18 - 2013-08-24,-8%
2013-08-25 - 2013-08-31,-29%
2013-09-01 - 2013-09-07,-33%
2013-09-08 - 2013-09-14,-34%
2013-09-15 - 2013-09-21,-28%
2013-09-22 - 2013-09-28,-24%
2013-09-29 - 2013-10-05,-7%
2013-10-06 - 2013-10-12,-21%
2013-10-13 - 2013-10-19,-20%
2013-10-20 - 2013-10-26,-22%
2013-10-27 - 2013-11-02,-23%
2013-11-03 - 2013-11-09,-24%
2013-11-10 - 2013-11-16,-20%
2013-11-17 - 2013-11-23,-21%
2013-11-24 - 2013-11-30,-34%
2013-12-01 - 2013-12-07,-27%
2013-12-08 - 2013-12-14,-27%
2013-12-15 - 2013-12-21,-19%
2013-12-22 - 2013-12-28,-26%
2013-12-29 - 2014-01-04,-30%



Top searches
bank,100
insurance,55
stock,55
mortgage,45
tax,40
interest rates,30
chase,30
bank of america,30
irs,25
wells fargo,20
gold,20
mortgage rates,20
internal revenue service,15
stocks,15
taxes,15
downton abbey,15
dollar,15
finance,15
stock market,15
rupee,10



Rising searches
internal revenue service,+1,300%
j. c. penney,+950%
jpmorgan chase,+600%
indian rupee,+500%
interest rates,+400%
obamacare,+200%
rupee,+170%
yen,+130%
mortgage settlement,+120%
irs,+110%



