News Search interest
United States; Past 7 days

Interest over time
Day,Health
2014-09-12,+0%
2014-09-13,-11%
2014-09-14,-21%
2014-09-15,+2%
2014-09-16,+12%
2014-09-17, 
2014-09-18, 



Top searches
ebola,100
marijuana,20
enterovirus,20
health,15
virus,15
cancer,15
hospital,5
disease,5
hiv,5
weed,5
ebola outbreak,5
nfl drug policy,5
ebola virus,5
surgery,5
joan rivers,5
prostate,5
cannabis,5
health care,5
autism,5



Rising searches
prostate,+190%
weed,+110%
enterovirus,+70%
health care,+60%
hiv,+60%



