YouTube Search interest
United States; Past 90 days

Interest over time
Day,Home & Garden
2014-06-20,+0%
2014-06-21,+6%
2014-06-22,+6%
2014-06-23,+5%
2014-06-24,-1%
2014-06-25,+1%
2014-06-26,+2%
2014-06-27,+3%
2014-06-28,+8%
2014-06-29,+12%
2014-06-30,+12%
2014-07-01,+6%
2014-07-02,+7%
2014-07-03,+6%
2014-07-04,+5%
2014-07-05,+9%
2014-07-06,+10%
2014-07-07,+9%
2014-07-08,+5%
2014-07-09,+3%
2014-07-10,+3%
2014-07-11,+6%
2014-07-12,+8%
2014-07-13,+12%
2014-07-14,+10%
2014-07-15,+7%
2014-07-16,+9%
2014-07-17,+6%
2014-07-18,+9%
2014-07-19,+12%
2014-07-20,+16%
2014-07-21,+12%
2014-07-22,+6%
2014-07-23,+7%
2014-07-24,+5%
2014-07-25,+3%
2014-07-26,+10%
2014-07-27,+12%
2014-07-28,+5%
2014-07-29,+9%
2014-07-30,+10%
2014-07-31,+2%
2014-08-01,+7%
2014-08-02,+6%
2014-08-03,+12%
2014-08-04,+7%
2014-08-05,+10%
2014-08-06,+9%
2014-08-07,+8%
2014-08-08,+5%
2014-08-09,+8%
2014-08-10,+12%
2014-08-11,+9%
2014-08-12,+8%
2014-08-13,+6%
2014-08-14,+2%
2014-08-15,+7%
2014-08-16,+8%
2014-08-17,+13%
2014-08-18,+9%
2014-08-19,+2%
2014-08-20,+5%
2014-08-21,+6%
2014-08-22,+0%
2014-08-23,+6%
2014-08-24,+10%
2014-08-25,+5%
2014-08-26,+3%
2014-08-27,+0%
2014-08-28,+1%
2014-08-29,+3%
2014-08-30,+12%
2014-08-31,+9%
2014-09-01,+13%
2014-09-02,+3%
2014-09-03,+0%
2014-09-04,+0%
2014-09-05,+0%
2014-09-06,+5%
2014-09-07,+8%
2014-09-08,+1%
2014-09-09,-3%
2014-09-10,-2%
2014-09-11,-7%
2014-09-12,-3%
2014-09-13,+2%
2014-09-14,+7%
2014-09-15,+1%
2014-09-16,-1%
2014-09-17,+0%
2014-09-18, 
2014-09-19, 



Top searches
chandelier,100
sia,95
chandelier sia,90
shower,65
how to build,55
becky g,40
shower becky g,40
paint,35
vines,30
erb,30
trap,20
diy,20
lights,15
chandelier lyrics,15
chandelier sia lyrics,15
chilled,10
shower lyrics,10
chilled chaos,10
chainsaw,10
saw,10



Rising searches
chandelier cover,+650%
shower becky g,+500%
becky g,+450%
shower lyrics,+400%
chandelier lyrics,+350%
chandelier sia lyrics,+350%
chandelier sia,+250%
chandelier sia live,+250%
chandelier,+200%
sia,+200%



