YouTube Search interest
United States; 2012

Interest over time
Week,Internet & Telecom
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+3%
2012-01-15 - 2012-01-21,+3%
2012-01-22 - 2012-01-28,+3%
2012-01-29 - 2012-02-04,-2%
2012-02-05 - 2012-02-11,+5%
2012-02-12 - 2012-02-18,-5%
2012-02-19 - 2012-02-25,+2%
2012-02-26 - 2012-03-03,+5%
2012-03-04 - 2012-03-10,+2%
2012-03-11 - 2012-03-17,+5%
2012-03-18 - 2012-03-24,+3%
2012-03-25 - 2012-03-31,-2%
2012-04-01 - 2012-04-07,+5%
2012-04-08 - 2012-04-14,+3%
2012-04-15 - 2012-04-21,+8%
2012-04-22 - 2012-04-28,+14%
2012-04-29 - 2012-05-05,+15%
2012-05-06 - 2012-05-12,+18%
2012-05-13 - 2012-05-19,+18%
2012-05-20 - 2012-05-26,+9%
2012-05-27 - 2012-06-02,+14%
2012-06-03 - 2012-06-09,+15%
2012-06-10 - 2012-06-16,+15%
2012-06-17 - 2012-06-23,+18%
2012-06-24 - 2012-06-30,+20%
2012-07-01 - 2012-07-07,+15%
2012-07-08 - 2012-07-14,+15%
2012-07-15 - 2012-07-21,+17%
2012-07-22 - 2012-07-28,+12%
2012-07-29 - 2012-08-04,+17%
2012-08-05 - 2012-08-11,+11%
2012-08-12 - 2012-08-18,+11%
2012-08-19 - 2012-08-25,+6%
2012-08-26 - 2012-09-01,+3%
2012-09-02 - 2012-09-08,+8%
2012-09-09 - 2012-09-15,+52%
2012-09-16 - 2012-09-22,+45%
2012-09-23 - 2012-09-29,+44%
2012-09-30 - 2012-10-06,+18%
2012-10-07 - 2012-10-13,+8%
2012-10-14 - 2012-10-20,+3%
2012-10-21 - 2012-10-27,+5%
2012-10-28 - 2012-11-03,+11%
2012-11-04 - 2012-11-10,+8%
2012-11-11 - 2012-11-17,+6%
2012-11-18 - 2012-11-24,+11%
2012-11-25 - 2012-12-01,+14%
2012-12-02 - 2012-12-08,+8%
2012-12-09 - 2012-12-15,+6%
2012-12-16 - 2012-12-22,+12%
2012-12-23 - 2012-12-29,+11%
2012-12-30 - 2013-01-05,+6%



Top searches
iphone,100
iphone 5,40
samsung,30
payphone,30
htc,25
orange,25
android,25
iphone 4,25
annoying orange,20
voice,20
the voice,20
cydia,15
google,15
unboxing,15
iphone 4s,10
nexus,10
blackberry,10
cat daddy,10
timeflies,10
verizon,5



Rising searches
galaxy s3,Breakout
payphone,Breakout
htc one,+3,650%
total recall,+800%
missed calls,+750%
timeflies,+400%
timeflies tuesday,+400%
the voice,+350%
voice,+200%
iphone 4s,+130%



