News Search interest
United States; 2010

Interest over time
Week,Reference
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+21%
2010-01-17 - 2010-01-23,+24%
2010-01-24 - 2010-01-30,+10%
2010-01-31 - 2010-02-06,+17%
2010-02-07 - 2010-02-13,+33%
2010-02-14 - 2010-02-20,+16%
2010-02-21 - 2010-02-27,+24%
2010-02-28 - 2010-03-06,+24%
2010-03-07 - 2010-03-13,+24%
2010-03-14 - 2010-03-20,+31%
2010-03-21 - 2010-03-27,+12%
2010-03-28 - 2010-04-03,+14%
2010-04-04 - 2010-04-10,+22%
2010-04-11 - 2010-04-17,+16%
2010-04-18 - 2010-04-24,+3%
2010-04-25 - 2010-05-01,+3%
2010-05-02 - 2010-05-08,+12%
2010-05-09 - 2010-05-15,+9%
2010-05-16 - 2010-05-22,+9%
2010-05-23 - 2010-05-29,+5%
2010-05-30 - 2010-06-05,+3%
2010-06-06 - 2010-06-12,+3%
2010-06-13 - 2010-06-19,+3%
2010-06-20 - 2010-06-26,+2%
2010-06-27 - 2010-07-03,+22%
2010-07-04 - 2010-07-10,+28%
2010-07-11 - 2010-07-17,+72%
2010-07-18 - 2010-07-24,+3%
2010-07-25 - 2010-07-31,+33%
2010-08-01 - 2010-08-07,+26%
2010-08-08 - 2010-08-14,+17%
2010-08-15 - 2010-08-21,+38%
2010-08-22 - 2010-08-28,+52%
2010-08-29 - 2010-09-04,+22%
2010-09-05 - 2010-09-11,+47%
2010-09-12 - 2010-09-18,+22%
2010-09-19 - 2010-09-25,+43%
2010-09-26 - 2010-10-02,+21%
2010-10-03 - 2010-10-09,+17%
2010-10-10 - 2010-10-16,+66%
2010-10-17 - 2010-10-23,+12%
2010-10-24 - 2010-10-30,+43%
2010-10-31 - 2010-11-06,+16%
2010-11-07 - 2010-11-13,+24%
2010-11-14 - 2010-11-20,+10%
2010-11-21 - 2010-11-27,+38%
2010-11-28 - 2010-12-04,+24%
2010-12-05 - 2010-12-11,+19%
2010-12-12 - 2010-12-18,+29%
2010-12-19 - 2010-12-25,+34%
2010-12-26 - 2011-01-01,+38%



Top searches
google,100
craigslist,100
chile,75
maps,55
economy,50
us,50
spain,50
nuclear,45
map,45
jobless,40
google maps,40
jobless claims,40
gross domestic product,35
earth,35
wikipedia,35
dictionary,30
google earth,30
unemployment,30
quantitative easing,30
traffic,30



Rising searches
quantitative easing,Breakout
federal reserve system,+4,250%
gross domestic product,+4,050%
jobless claims,+1,450%
jobless,+650%
chile,+550%
spain,+250%
south africa,+110%
dictionary,+80%
white pages,+80%



