News Search interest
United States; Past 30 days

Interest over time
Day,Hobbies & Leisure
2014-08-19,+0%
2014-08-20,+0%
2014-08-21,-2%
2014-08-22,+1%
2014-08-23,+15%
2014-08-24,+9%
2014-08-25,+8%
2014-08-26,-7%
2014-08-27,-3%
2014-08-28,+0%
2014-08-29,-7%
2014-08-30,+7%
2014-08-31,+8%
2014-09-01,+6%
2014-09-02,-11%
2014-09-03,-8%
2014-09-04,-10%
2014-09-05,-5%
2014-09-06,+6%
2014-09-07,+5%
2014-09-08,-7%
2014-09-09,-17%
2014-09-10,-13%
2014-09-11,-9%
2014-09-12,+2%
2014-09-13,-2%
2014-09-14,+3%
2014-09-15,-6%
2014-09-16,-1%
2014-09-17, 
2014-09-18, 



Top searches
lottery,100
dog,85
wedding,70
ice bucket,60
atlantic city,50
dogs,45
ice bucket challenge,45
boeing,35
richard attenborough,35
cat,35
imagenes,25
shark,25
fish,25
mega millions,25
zoo,25
labor day,25
fishing,25
exo,20
sony,20
giancarlo stanton,20



Rising searches
janay palmer,Breakout
richard attenborough,Breakout
giancarlo stanton,+1,000%
labor day,+400%
ice bucket,+350%
ice bucket challenge,+300%
halloween,+200%
lion,+100%
cycling,+70%
atlantic city,+50%



