Google Shopping interest
United States; Past 12 months

Interest over time
Week,Reference
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-2%
2013-09-29 - 2013-10-05,+5%
2013-10-06 - 2013-10-12,+0%
2013-10-13 - 2013-10-19,-2%
2013-10-20 - 2013-10-26,-2%
2013-10-27 - 2013-11-02,-2%
2013-11-03 - 2013-11-09,+1%
2013-11-10 - 2013-11-16,-12%
2013-11-17 - 2013-11-23,-13%
2013-11-24 - 2013-11-30,-27%
2013-12-01 - 2013-12-07,-23%
2013-12-08 - 2013-12-14,-19%
2013-12-15 - 2013-12-21,-23%
2013-12-22 - 2013-12-28,-23%
2013-12-29 - 2014-01-04,-13%
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,+1%
2014-01-19 - 2014-01-25,+7%
2014-01-26 - 2014-02-01,+1%
2014-02-02 - 2014-02-08,+5%
2014-02-09 - 2014-02-15,-4%
2014-02-16 - 2014-02-22,-2%
2014-02-23 - 2014-03-01,+2%
2014-03-02 - 2014-03-08,-4%
2014-03-09 - 2014-03-15,-5%
2014-03-16 - 2014-03-22,-2%
2014-03-23 - 2014-03-29,-5%
2014-03-30 - 2014-04-05,-7%
2014-04-06 - 2014-04-12,-7%
2014-04-13 - 2014-04-19,-6%
2014-04-20 - 2014-04-26,-4%
2014-04-27 - 2014-05-03,-2%
2014-05-04 - 2014-05-10,+0%
2014-05-11 - 2014-05-17,+5%
2014-05-18 - 2014-05-24,+6%
2014-05-25 - 2014-05-31,+2%
2014-06-01 - 2014-06-07,+2%
2014-06-08 - 2014-06-14,-2%
2014-06-15 - 2014-06-21,+0%
2014-06-22 - 2014-06-28,+1%
2014-06-29 - 2014-07-05,+1%
2014-07-06 - 2014-07-12,+2%
2014-07-13 - 2014-07-19,+1%
2014-07-20 - 2014-07-26,+2%
2014-07-27 - 2014-08-02,-1%
2014-08-03 - 2014-08-09,+4%
2014-08-10 - 2014-08-16,+0%
2014-08-17 - 2014-08-23,+13%
2014-08-24 - 2014-08-30,+19%
2014-08-31 - 2014-09-06,+12%
2014-09-07 - 2014-09-13,+17%
2014-09-14 - 2014-09-20,+13%



Top searches
craigslist,100
quotes,30
definition,20
map,20
google,15
calendar,10
mermaid,10
maps,10
translate,10
dictionary,5
history,5
search,5
maps google,5
trash can,5
mermaid tails,5
translate google,5
add reminder,5
planner,5
us,5
how to make,5



Rising searches
add reminder,+800%
2014 calendar,+750%
definition,+250%
funny quotes,+250%
love quotes,+250%
quotes,+190%
directions,+150%
translate,+130%
translate google,+130%
ga,+90%



