YouTube Search interest
United States; Past 90 days

Interest over time
Day,Law & Government
2014-06-20,+0%
2014-06-21,+1%
2014-06-22,-4%
2014-06-23,+0%
2014-06-24,+0%
2014-06-25,+3%
2014-06-26,+3%
2014-06-27,+1%
2014-06-28,+0%
2014-06-29,+1%
2014-06-30,+6%
2014-07-01,+6%
2014-07-02,+9%
2014-07-03,+5%
2014-07-04,+9%
2014-07-05,+6%
2014-07-06,+6%
2014-07-07,+4%
2014-07-08,+8%
2014-07-09,+5%
2014-07-10,+5%
2014-07-11,+5%
2014-07-12,+4%
2014-07-13,+4%
2014-07-14,+3%
2014-07-15,+3%
2014-07-16,+6%
2014-07-17,+12%
2014-07-18,+13%
2014-07-19,+6%
2014-07-20,+10%
2014-07-21,+9%
2014-07-22,+9%
2014-07-23,+8%
2014-07-24,+3%
2014-07-25,+4%
2014-07-26,+1%
2014-07-27,+10%
2014-07-28,+5%
2014-07-29,+1%
2014-07-30,+5%
2014-07-31,+4%
2014-08-01,+4%
2014-08-02,+19%
2014-08-03,+6%
2014-08-04,+14%
2014-08-05,+10%
2014-08-06,+12%
2014-08-07,+13%
2014-08-08,+8%
2014-08-09,+14%
2014-08-10,+4%
2014-08-11,+10%
2014-08-12,+6%
2014-08-13,+10%
2014-08-14,+14%
2014-08-15,+13%
2014-08-16,+12%
2014-08-17,+17%
2014-08-18,+14%
2014-08-19,+15%
2014-08-20,+14%
2014-08-21,+19%
2014-08-22,+10%
2014-08-23,+5%
2014-08-24,+4%
2014-08-25,+9%
2014-08-26,+9%
2014-08-27,+15%
2014-08-28,+12%
2014-08-29,+9%
2014-08-30,+4%
2014-08-31,+4%
2014-09-01,+4%
2014-09-02,+8%
2014-09-03,+14%
2014-09-04,+9%
2014-09-05,+6%
2014-09-06,+1%
2014-09-07,-1%
2014-09-08,+10%
2014-09-09,+10%
2014-09-10,+15%
2014-09-11,+28%
2014-09-12,+13%
2014-09-13,+0%
2014-09-14,-1%
2014-09-15,+10%
2014-09-16,+15%
2014-09-17,+23%
2014-09-18, 
2014-09-19, 



Top searches
childish gambino,100
police,65
obama,35
3005,30
army,30
childish gambino 3005,30
fire,25
one direction,20
shooting,15
离婚律师,10
word crimes,10
childish gambino sweatpants,10
schoolhouse rock,10
royals lorde,10
wassabi productions,10
fail army,10
riot,5
marines,5
paul george,5
thrift shop,5



Rising searches
isis,Breakout
rich gang lifestyle,Breakout
word crimes,Breakout
离婚律师,Breakout
rich gang,+1,100%
paul george,+600%
interpol,+90%
obama speech,+90%
fail army,+60%
maddie ziegler,+60%



