News Search interest
United States; 2009

Interest over time
Week,Games
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-12%
2009-01-18 - 2009-01-24,-44%
2009-01-25 - 2009-01-31,-6%
2009-02-01 - 2009-02-07,-19%
2009-02-08 - 2009-02-14,-41%
2009-02-15 - 2009-02-21,+8%
2009-02-22 - 2009-02-28,-3%
2009-03-01 - 2009-03-07,+3%
2009-03-08 - 2009-03-14,-19%
2009-03-15 - 2009-03-21,-19%
2009-03-22 - 2009-03-28,-17%
2009-03-29 - 2009-04-04,-20%
2009-04-05 - 2009-04-11,-3%
2009-04-12 - 2009-04-18,-22%
2009-04-19 - 2009-04-25,-22%
2009-04-26 - 2009-05-02,+56%
2009-05-03 - 2009-05-09,+27%
2009-05-10 - 2009-05-16,-17%
2009-05-17 - 2009-05-23,-20%
2009-05-24 - 2009-05-30,+0%
2009-05-31 - 2009-06-06,+2%
2009-06-07 - 2009-06-13,-33%
2009-06-14 - 2009-06-20,-41%
2009-06-21 - 2009-06-27,-44%
2009-06-28 - 2009-07-04,-41%
2009-07-05 - 2009-07-11,-42%
2009-07-12 - 2009-07-18,-37%
2009-07-19 - 2009-07-25,-37%
2009-07-26 - 2009-08-01,-31%
2009-08-02 - 2009-08-08,-17%
2009-08-09 - 2009-08-15,-23%
2009-08-16 - 2009-08-22,-2%
2009-08-23 - 2009-08-29,+28%
2009-08-30 - 2009-09-05,-20%
2009-09-06 - 2009-09-12,-33%
2009-09-13 - 2009-09-19,-36%
2009-09-20 - 2009-09-26,-20%
2009-09-27 - 2009-10-03,-33%
2009-10-04 - 2009-10-10,-34%
2009-10-11 - 2009-10-17,-28%
2009-10-18 - 2009-10-24,-34%
2009-10-25 - 2009-10-31,-31%
2009-11-01 - 2009-11-07,-25%
2009-11-08 - 2009-11-14,+3%
2009-11-15 - 2009-11-21,-27%
2009-11-22 - 2009-11-28,-36%
2009-11-29 - 2009-12-05,-41%
2009-12-06 - 2009-12-12,-41%
2009-12-13 - 2009-12-19,-28%
2009-12-20 - 2009-12-26,-33%
2009-12-27 - 2010-01-02,-30%



Top searches
games,100
ps3,70
kentucky derby,60
xbox,45
juegos,45
lottery,45
juegos juegos,45
modern warfare,35
game,35
wii,30
modern warfare 2,30
mega millions,30
xbox 360,25
kentucky derby 2009,25
powerball,20
nintendo,20
playstation,20
online games,15
call of duty,15
dsi,15



Rising searches
kentucky derby 2009,Breakout
modern warfare,Breakout
modern warfare 2,Breakout
resident evil 5,+800%
florida lottery,+750%
resident evil,+700%
dsi,+350%
dsi nintendo,+350%
halo,+250%
psp,+140%



