Google Shopping interest
United States; 2013

Interest over time
Week,Online Communities
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+2%
2013-01-20 - 2013-01-26,+9%
2013-01-27 - 2013-02-02,+9%
2013-02-03 - 2013-02-09,+2%
2013-02-10 - 2013-02-16,+7%
2013-02-17 - 2013-02-23,+5%
2013-02-24 - 2013-03-02,+5%
2013-03-03 - 2013-03-09,+4%
2013-03-10 - 2013-03-16,+9%
2013-03-17 - 2013-03-23,+15%
2013-03-24 - 2013-03-30,+16%
2013-03-31 - 2013-04-06,+16%
2013-04-07 - 2013-04-13,+27%
2013-04-14 - 2013-04-20,+27%
2013-04-21 - 2013-04-27,+25%
2013-04-28 - 2013-05-04,+18%
2013-05-05 - 2013-05-11,+24%
2013-05-12 - 2013-05-18,+18%
2013-05-19 - 2013-05-25,+22%
2013-05-26 - 2013-06-01,+20%
2013-06-02 - 2013-06-08,+22%
2013-06-09 - 2013-06-15,+7%
2013-06-16 - 2013-06-22,+22%
2013-06-23 - 2013-06-29,+16%
2013-06-30 - 2013-07-06,+22%
2013-07-07 - 2013-07-13,+20%
2013-07-14 - 2013-07-20,+35%
2013-07-21 - 2013-07-27,+40%
2013-07-28 - 2013-08-03,+31%
2013-08-04 - 2013-08-10,+40%
2013-08-11 - 2013-08-17,+45%
2013-08-18 - 2013-08-24,+36%
2013-08-25 - 2013-08-31,+36%
2013-09-01 - 2013-09-07,+53%
2013-09-08 - 2013-09-14,+51%
2013-09-15 - 2013-09-21,+53%
2013-09-22 - 2013-09-28,+53%
2013-09-29 - 2013-10-05,+58%
2013-10-06 - 2013-10-12,+64%
2013-10-13 - 2013-10-19,+67%
2013-10-20 - 2013-10-26,+60%
2013-10-27 - 2013-11-02,+67%
2013-11-03 - 2013-11-09,+62%
2013-11-10 - 2013-11-16,+49%
2013-11-17 - 2013-11-23,+45%
2013-11-24 - 2013-11-30,+27%
2013-12-01 - 2013-12-07,+33%
2013-12-08 - 2013-12-14,+29%
2013-12-15 - 2013-12-21,+40%
2013-12-22 - 2013-12-28,+82%
2013-12-29 - 2014-01-04,+75%



Top searches
facebook,100
facebook facebook,100
login facebook,20
wallpaper,10
louboutin,10
fuse,10
tumblr,5
zebra,5
christian louboutin,5
icon,5
streamlight,5
twitter,5
glitter,5
maui jim,5
club penguin,5
desktop,5
clip art,5
images,0
facebook.com,0
facebook home,0



Rising searches
facebook mobile,Breakout
facebook home page,+550%
facebook home,+450%
facebook login page,+250%
tumblr,+200%
linkedin,+170%
facebook facebook,+100%
facebook,+90%
login facebook,+90%
twitter,+90%



