Google Shopping interest
United States; Past 90 days

Interest over time
Day,Law & Government
2014-06-20,+0%
2014-06-21,-20%
2014-06-22,-20%
2014-06-23,-9%
2014-06-24,-6%
2014-06-25,-3%
2014-06-26,-3%
2014-06-27,-7%
2014-06-28,-18%
2014-06-29,-19%
2014-06-30,-11%
2014-07-01,-1%
2014-07-02,-1%
2014-07-03,-8%
2014-07-04,-4%
2014-07-05,-13%
2014-07-06,-11%
2014-07-07,-10%
2014-07-08,-12%
2014-07-09,-4%
2014-07-10,-7%
2014-07-11,-7%
2014-07-12,-13%
2014-07-13,-21%
2014-07-14,-10%
2014-07-15,-3%
2014-07-16,-7%
2014-07-17,-4%
2014-07-18,-11%
2014-07-19,-8%
2014-07-20,-11%
2014-07-21,-6%
2014-07-22,-11%
2014-07-23,-9%
2014-07-24,-3%
2014-07-25,-12%
2014-07-26,-8%
2014-07-27,-12%
2014-07-28,-11%
2014-07-29,-6%
2014-07-30,-5%
2014-07-31,-3%
2014-08-01,-5%
2014-08-02,-11%
2014-08-03,-13%
2014-08-04,-14%
2014-08-05,-13%
2014-08-06,-14%
2014-08-07,-10%
2014-08-08,-10%
2014-08-09,-13%
2014-08-10,-20%
2014-08-11,-4%
2014-08-12,-8%
2014-08-13,-12%
2014-08-14,-1%
2014-08-15,-1%
2014-08-16,-10%
2014-08-17,-24%
2014-08-18,-9%
2014-08-19,-9%
2014-08-20,+0%
2014-08-21,-3%
2014-08-22,-1%
2014-08-23,-13%
2014-08-24,-11%
2014-08-25,-5%
2014-08-26,-2%
2014-08-27,+0%
2014-08-28,+0%
2014-08-29,-1%
2014-08-30,-14%
2014-08-31,-16%
2014-09-01,-19%
2014-09-02,+1%
2014-09-03,+2%
2014-09-04,+3%
2014-09-05,-1%
2014-09-06,-20%
2014-09-07,-20%
2014-09-08,+0%
2014-09-09,-7%
2014-09-10,-1%
2014-09-11,-4%
2014-09-12,+1%
2014-09-13,-15%
2014-09-14,-11%
2014-09-15,-4%
2014-09-16,-4%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
police,100
fire,70
army,55
elsa,40
mapquest,40
security camera,40
insulation,30
taser,25
justice,25
air force,20
home security,20
unemployment,20
firefighter,20
5.11,15
elsa costume,15
security camera system,15
security cameras,15
inmate search,15
pepper spray,15
driving directions,10



Rising searches
5.11,+90%
police car,+80%
goodwill,+70%
bullet proof vest,+50%
justice,+50%
military surplus,+50%
pepper spray,+50%



