News Search interest
United States; 2009

Interest over time
Week,Books & Literature
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+74%
2009-01-18 - 2009-01-24,+114%
2009-01-25 - 2009-01-31,+44%
2009-02-01 - 2009-02-07,-9%
2009-02-08 - 2009-02-14,+7%
2009-02-15 - 2009-02-21,-5%
2009-02-22 - 2009-02-28,+0%
2009-03-01 - 2009-03-07,+100%
2009-03-08 - 2009-03-14,+9%
2009-03-15 - 2009-03-21,-12%
2009-03-22 - 2009-03-28,-9%
2009-03-29 - 2009-04-04,-21%
2009-04-05 - 2009-04-11,-21%
2009-04-12 - 2009-04-18,-5%
2009-04-19 - 2009-04-25,+7%
2009-04-26 - 2009-05-02,-28%
2009-05-03 - 2009-05-09,-7%
2009-05-10 - 2009-05-16,-21%
2009-05-17 - 2009-05-23,+21%
2009-05-24 - 2009-05-30,-14%
2009-05-31 - 2009-06-06,-19%
2009-06-07 - 2009-06-13,-30%
2009-06-14 - 2009-06-20,-28%
2009-06-21 - 2009-06-27,-14%
2009-06-28 - 2009-07-04,-5%
2009-07-05 - 2009-07-11,-14%
2009-07-12 - 2009-07-18,+133%
2009-07-19 - 2009-07-25,+58%
2009-07-26 - 2009-08-01,-12%
2009-08-02 - 2009-08-08,-23%
2009-08-09 - 2009-08-15,-28%
2009-08-16 - 2009-08-22,-21%
2009-08-23 - 2009-08-29,-21%
2009-08-30 - 2009-09-05,-28%
2009-09-06 - 2009-09-12,-14%
2009-09-13 - 2009-09-19,-9%
2009-09-20 - 2009-09-26,-14%
2009-09-27 - 2009-10-03,-16%
2009-10-04 - 2009-10-10,+7%
2009-10-11 - 2009-10-17,+2%
2009-10-18 - 2009-10-24,-7%
2009-10-25 - 2009-10-31,-16%
2009-11-01 - 2009-11-07,-23%
2009-11-08 - 2009-11-14,-19%
2009-11-15 - 2009-11-21,+5%
2009-11-22 - 2009-11-28,-23%
2009-11-29 - 2009-12-05,-14%
2009-12-06 - 2009-12-12,-16%
2009-12-13 - 2009-12-19,-14%
2009-12-20 - 2009-12-26,-26%
2009-12-27 - 2010-01-02,-9%



Top searches
harry,100
harry potter,95
martin luther king,40
books,30
book,30
poems,30
magazine,20
quotes,20
dr seuss,15
poem,15
shakespeare,10
poemas,10
half blood prince,10
deathly hallows,10
lulin,5
lucy gordon,5
alice in wonderland,5
newsweek,5
barnes,5
comet,5



Rising searches
comet,Breakout
lucy gordon,Breakout
lulin,Breakout
dr seuss,+1,050%
poem,+650%
poems,+350%
alice in wonderland,+300%
poetry,+200%
shakespeare,+170%
poemas,+150%



