Web Search interest
United States; Past 90 days

Interest over time
Day,Hobbies & Leisure
2014-06-18,+0%
2014-06-19,+5%
2014-06-20,+9%
2014-06-21,+18%
2014-06-22,+16%
2014-06-23,+9%
2014-06-24,+4%
2014-06-25,+7%
2014-06-26,+4%
2014-06-27,+12%
2014-06-28,+22%
2014-06-29,+22%
2014-06-30,+9%
2014-07-01,+7%
2014-07-02,+11%
2014-07-03,+16%
2014-07-04,+35%
2014-07-05,+26%
2014-07-06,+23%
2014-07-07,+14%
2014-07-08,+8%
2014-07-09,+3%
2014-07-10,+11%
2014-07-11,+8%
2014-07-12,+20%
2014-07-13,+18%
2014-07-14,+7%
2014-07-15,+8%
2014-07-16,+11%
2014-07-17,+8%
2014-07-18,+9%
2014-07-19,+22%
2014-07-20,+26%
2014-07-21,+9%
2014-07-22,+5%
2014-07-23,+9%
2014-07-24,+8%
2014-07-25,+9%
2014-07-26,+22%
2014-07-27,+26%
2014-07-28,+11%
2014-07-29,+7%
2014-07-30,+8%
2014-07-31,+8%
2014-08-01,+8%
2014-08-02,+20%
2014-08-03,+19%
2014-08-04,+8%
2014-08-05,+7%
2014-08-06,+5%
2014-08-07,+7%
2014-08-08,+7%
2014-08-09,+20%
2014-08-10,+20%
2014-08-11,+4%
2014-08-12,-1%
2014-08-13,+7%
2014-08-14,+7%
2014-08-15,+3%
2014-08-16,+19%
2014-08-17,+19%
2014-08-18,+4%
2014-08-19,+3%
2014-08-20,+5%
2014-08-21,+5%
2014-08-22,+7%
2014-08-23,+19%
2014-08-24,+18%
2014-08-25,+0%
2014-08-26,+0%
2014-08-27,+4%
2014-08-28,+1%
2014-08-29,+4%
2014-08-30,+14%
2014-08-31,+18%
2014-09-01,+18%
2014-09-02,+0%
2014-09-03,-4%
2014-09-04,-1%
2014-09-05,+1%
2014-09-06,+11%
2014-09-07,+11%
2014-09-08,+0%
2014-09-09,-4%
2014-09-10,-1%
2014-09-11,-4%
2014-09-12,+1%
2014-09-13,+15%
2014-09-14,+12%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
dog,100
lottery,90
dogs,45
cat,45
puppies,30
kayak,25
horse,20
cats,20
flowers,15
happy birthday,15
petsmart,15
mega millions,10
flower,10
lotto,10
walmart,10
ebay,10
nikon,10
petco,10
minecraft,10
anniversary,10



Rising searches
anaconda lyrics,Breakout
ice bucket challenge,Breakout
tour de france,+1,050%
eid 2014,+600%
anaconda,+550%
halloween,+350%
rosh hashanah 2014,+350%
ramadan,+300%
labor day 2014,+250%
ramadan 2014,+190%



