News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Online Communities
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+40%
2008-01-20 - 2008-01-26,-4%
2008-01-27 - 2008-02-02,+20%
2008-02-03 - 2008-02-09,-12%
2008-02-10 - 2008-02-16,+8%
2008-02-17 - 2008-02-23,-16%
2008-02-24 - 2008-03-01,+32%
2008-03-02 - 2008-03-08,+24%
2008-03-09 - 2008-03-15,+56%
2008-03-16 - 2008-03-22,+4%
2008-03-23 - 2008-03-29,+80%
2008-03-30 - 2008-04-05,+60%
2008-04-06 - 2008-04-12,+68%
2008-04-13 - 2008-04-19,+56%
2008-04-20 - 2008-04-26,+0%
2008-04-27 - 2008-05-03,-16%
2008-05-04 - 2008-05-10,+12%
2008-05-11 - 2008-05-17,+44%
2008-05-18 - 2008-05-24,+48%
2008-05-25 - 2008-05-31,+48%
2008-06-01 - 2008-06-07,+24%
2008-06-08 - 2008-06-14,+12%
2008-06-15 - 2008-06-21,+96%
2008-06-22 - 2008-06-28,+20%
2008-06-29 - 2008-07-05,+28%
2008-07-06 - 2008-07-12,+64%
2008-07-13 - 2008-07-19,+48%
2008-07-20 - 2008-07-26,+132%
2008-07-27 - 2008-08-02,+52%
2008-08-03 - 2008-08-09,-32%
2008-08-10 - 2008-08-16,-44%
2008-08-17 - 2008-08-23,-32%
2008-08-24 - 2008-08-30,+20%
2008-08-31 - 2008-09-06,-4%
2008-09-07 - 2008-09-13,-12%
2008-09-14 - 2008-09-20,+16%
2008-09-21 - 2008-09-27,+20%
2008-09-28 - 2008-10-04,+16%
2008-10-05 - 2008-10-11,+4%
2008-10-12 - 2008-10-18,+20%
2008-10-19 - 2008-10-25,+32%
2008-10-26 - 2008-11-01,+48%
2008-11-02 - 2008-11-08,-16%
2008-11-09 - 2008-11-15,+116%
2008-11-16 - 2008-11-22,+100%
2008-11-23 - 2008-11-29,+124%
2008-11-30 - 2008-12-06,+164%
2008-12-07 - 2008-12-13,+72%
2008-12-14 - 2008-12-20,+28%
2008-12-21 - 2008-12-27,+92%
2008-12-28 - 2009-01-03,+100%
2009-01-04 - 2009-01-10,+64%
2009-01-11 - 2009-01-17,+36%
2009-01-18 - 2009-01-24,+20%
2009-01-25 - 2009-01-31,+60%
2009-02-01 - 2009-02-07,+116%
2009-02-08 - 2009-02-14,+48%
2009-02-15 - 2009-02-21,+212%
2009-02-22 - 2009-02-28,+104%
2009-03-01 - 2009-03-07,+96%
2009-03-08 - 2009-03-14,+80%
2009-03-15 - 2009-03-21,+56%
2009-03-22 - 2009-03-28,+72%
2009-03-29 - 2009-04-04,+88%
2009-04-05 - 2009-04-11,+84%
2009-04-12 - 2009-04-18,+100%
2009-04-19 - 2009-04-25,+84%
2009-04-26 - 2009-05-02,+20%
2009-05-03 - 2009-05-09,+36%
2009-05-10 - 2009-05-16,+36%
2009-05-17 - 2009-05-23,+32%
2009-05-24 - 2009-05-30,+140%
2009-05-31 - 2009-06-06,+48%
2009-06-07 - 2009-06-13,+72%
2009-06-14 - 2009-06-20,+76%
2009-06-21 - 2009-06-27,+80%
2009-06-28 - 2009-07-04,+116%
2009-07-05 - 2009-07-11,+68%
2009-07-12 - 2009-07-18,+56%
2009-07-19 - 2009-07-25,+68%
2009-07-26 - 2009-08-01,+64%
2009-08-02 - 2009-08-08,+124%
2009-08-09 - 2009-08-15,+112%
2009-08-16 - 2009-08-22,+124%
2009-08-23 - 2009-08-29,+120%
2009-08-30 - 2009-09-05,+52%
2009-09-06 - 2009-09-12,+300%
2009-09-13 - 2009-09-19,+256%
2009-09-20 - 2009-09-26,+168%
2009-09-27 - 2009-10-03,+156%
2009-10-04 - 2009-10-10,+108%
2009-10-11 - 2009-10-17,+136%
2009-10-18 - 2009-10-24,+224%
2009-10-25 - 2009-10-31,+200%
2009-11-01 - 2009-11-07,+60%
2009-11-08 - 2009-11-14,+160%
2009-11-15 - 2009-11-21,+196%
2009-11-22 - 2009-11-28,+224%
2009-11-29 - 2009-12-05,+84%
2009-12-06 - 2009-12-12,+236%
2009-12-13 - 2009-12-19,+108%
2009-12-20 - 2009-12-26,+160%
2009-12-27 - 2010-01-02,+232%
2010-01-03 - 2010-01-09,+140%
2010-01-10 - 2010-01-16,+132%
2010-01-17 - 2010-01-23,+60%
2010-01-24 - 2010-01-30,+64%
2010-01-31 - 2010-02-06,+88%
2010-02-07 - 2010-02-13,+300%
2010-02-14 - 2010-02-20,+216%
2010-02-21 - 2010-02-27,+76%
2010-02-28 - 2010-03-06,+72%
2010-03-07 - 2010-03-13,+68%
2010-03-14 - 2010-03-20,+84%
2010-03-21 - 2010-03-27,+88%
2010-03-28 - 2010-04-03,+112%
2010-04-04 - 2010-04-10,+96%
2010-04-11 - 2010-04-17,+100%
2010-04-18 - 2010-04-24,+136%
2010-04-25 - 2010-05-01,+104%
2010-05-02 - 2010-05-08,+92%
2010-05-09 - 2010-05-15,+132%
2010-05-16 - 2010-05-22,+132%
2010-05-23 - 2010-05-29,+136%
2010-05-30 - 2010-06-05,+88%
2010-06-06 - 2010-06-12,+92%
2010-06-13 - 2010-06-19,+80%
2010-06-20 - 2010-06-26,+76%
2010-06-27 - 2010-07-03,+92%
2010-07-04 - 2010-07-10,+132%
2010-07-11 - 2010-07-17,+76%
2010-07-18 - 2010-07-24,+120%
2010-07-25 - 2010-07-31,+80%
2010-08-01 - 2010-08-07,+100%
2010-08-08 - 2010-08-14,+76%
2010-08-15 - 2010-08-21,+156%
2010-08-22 - 2010-08-28,+100%
2010-08-29 - 2010-09-04,+56%
2010-09-05 - 2010-09-11,+76%
2010-09-12 - 2010-09-18,+92%
2010-09-19 - 2010-09-25,+280%
2010-09-26 - 2010-10-02,+148%
2010-10-03 - 2010-10-09,+248%
2010-10-10 - 2010-10-16,+104%
2010-10-17 - 2010-10-23,+108%
2010-10-24 - 2010-10-30,+120%
2010-10-31 - 2010-11-06,+84%
2010-11-07 - 2010-11-13,+124%
2010-11-14 - 2010-11-20,+176%
2010-11-21 - 2010-11-27,+136%
2010-11-28 - 2010-12-04,+108%
2010-12-05 - 2010-12-11,+196%
2010-12-12 - 2010-12-18,+152%
2010-12-19 - 2010-12-25,+128%
2010-12-26 - 2011-01-01,+144%
2011-01-02 - 2011-01-08,+108%
2011-01-09 - 2011-01-15,+140%
2011-01-16 - 2011-01-22,+124%
2011-01-23 - 2011-01-29,+128%
2011-01-30 - 2011-02-05,+120%
2011-02-06 - 2011-02-12,+112%
2011-02-13 - 2011-02-19,+104%
2011-02-20 - 2011-02-26,+104%
2011-02-27 - 2011-03-05,+88%
2011-03-06 - 2011-03-12,+80%
2011-03-13 - 2011-03-19,+64%
2011-03-20 - 2011-03-26,+84%
2011-03-27 - 2011-04-02,+100%
2011-04-03 - 2011-04-09,+84%
2011-04-10 - 2011-04-16,+96%
2011-04-17 - 2011-04-23,+84%
2011-04-24 - 2011-04-30,+72%
2011-05-01 - 2011-05-07,+64%
2011-05-08 - 2011-05-14,+112%
2011-05-15 - 2011-05-21,+108%
2011-05-22 - 2011-05-28,+104%
2011-05-29 - 2011-06-04,+92%
2011-06-05 - 2011-06-11,+88%
2011-06-12 - 2011-06-18,+92%
2011-06-19 - 2011-06-25,+88%
2011-06-26 - 2011-07-02,+112%
2011-07-03 - 2011-07-09,+192%
2011-07-10 - 2011-07-16,+116%
2011-07-17 - 2011-07-23,+156%
2011-07-24 - 2011-07-30,+116%
2011-07-31 - 2011-08-06,+112%
2011-08-07 - 2011-08-13,+164%
2011-08-14 - 2011-08-20,+100%
2011-08-21 - 2011-08-27,+76%
2011-08-28 - 2011-09-03,+84%
2011-09-04 - 2011-09-10,+96%
2011-09-11 - 2011-09-17,+96%
2011-09-18 - 2011-09-24,+160%
2011-09-25 - 2011-10-01,+140%
2011-10-02 - 2011-10-08,+84%
2011-10-09 - 2011-10-15,+92%
2011-10-16 - 2011-10-22,+88%
2011-10-23 - 2011-10-29,+80%
2011-10-30 - 2011-11-05,+96%
2011-11-06 - 2011-11-12,+84%
2011-11-13 - 2011-11-19,+124%
2011-11-20 - 2011-11-26,+84%
2011-11-27 - 2011-12-03,+84%
2011-12-04 - 2011-12-10,+88%
2011-12-11 - 2011-12-17,+104%
2011-12-18 - 2011-12-24,+92%
2011-12-25 - 2011-12-31,+104%
2012-01-01 - 2012-01-07,+76%
2012-01-08 - 2012-01-14,+72%
2012-01-15 - 2012-01-21,+172%
2012-01-22 - 2012-01-28,+184%
2012-01-29 - 2012-02-04,+184%
2012-02-05 - 2012-02-11,+144%
2012-02-12 - 2012-02-18,+96%
2012-02-19 - 2012-02-25,+128%
2012-02-26 - 2012-03-03,+96%
2012-03-04 - 2012-03-10,+96%
2012-03-11 - 2012-03-17,+88%
2012-03-18 - 2012-03-24,+96%
2012-03-25 - 2012-03-31,+92%
2012-04-01 - 2012-04-07,+96%
2012-04-08 - 2012-04-14,+112%
2012-04-15 - 2012-04-21,+96%
2012-04-22 - 2012-04-28,+104%
2012-04-29 - 2012-05-05,+112%
2012-05-06 - 2012-05-12,+120%
2012-05-13 - 2012-05-19,+236%
2012-05-20 - 2012-05-26,+260%
2012-05-27 - 2012-06-02,+192%
2012-06-03 - 2012-06-09,+200%
2012-06-10 - 2012-06-16,+132%
2012-06-17 - 2012-06-23,+148%
2012-06-24 - 2012-06-30,+120%
2012-07-01 - 2012-07-07,+128%
2012-07-08 - 2012-07-14,+112%
2012-07-15 - 2012-07-21,+120%
2012-07-22 - 2012-07-28,+140%
2012-07-29 - 2012-08-04,+124%
2012-08-05 - 2012-08-11,+124%
2012-08-12 - 2012-08-18,+140%
2012-08-19 - 2012-08-25,+140%
2012-08-26 - 2012-09-01,+124%
2012-09-02 - 2012-09-08,+120%
2012-09-09 - 2012-09-15,+100%
2012-09-16 - 2012-09-22,+116%
2012-09-23 - 2012-09-29,+132%
2012-09-30 - 2012-10-06,+160%
2012-10-07 - 2012-10-13,+124%
2012-10-14 - 2012-10-20,+140%
2012-10-21 - 2012-10-27,+136%
2012-10-28 - 2012-11-03,+72%
2012-11-04 - 2012-11-10,+76%
2012-11-11 - 2012-11-17,+104%
2012-11-18 - 2012-11-24,+112%
2012-11-25 - 2012-12-01,+124%
2012-12-02 - 2012-12-08,+112%
2012-12-09 - 2012-12-15,+140%
2012-12-16 - 2012-12-22,+108%
2012-12-23 - 2012-12-29,+184%
2012-12-30 - 2013-01-05,+124%
2013-01-06 - 2013-01-12,+120%
2013-01-13 - 2013-01-19,+152%
2013-01-20 - 2013-01-26,+136%
2013-01-27 - 2013-02-02,+124%
2013-02-03 - 2013-02-09,+108%
2013-02-10 - 2013-02-16,+136%
2013-02-17 - 2013-02-23,+120%
2013-02-24 - 2013-03-02,+104%
2013-03-03 - 2013-03-09,+120%
2013-03-10 - 2013-03-16,+108%
2013-03-17 - 2013-03-23,+108%
2013-03-24 - 2013-03-30,+128%
2013-03-31 - 2013-04-06,+156%
2013-04-07 - 2013-04-13,+144%
2013-04-14 - 2013-04-20,+104%
2013-04-21 - 2013-04-27,+152%
2013-04-28 - 2013-05-04,+140%
2013-05-05 - 2013-05-11,+136%
2013-05-12 - 2013-05-18,+104%
2013-05-19 - 2013-05-25,+148%
2013-05-26 - 2013-06-01,+116%
2013-06-02 - 2013-06-08,+108%
2013-06-09 - 2013-06-15,+128%
2013-06-16 - 2013-06-22,+140%
2013-06-23 - 2013-06-29,+104%
2013-06-30 - 2013-07-06,+120%
2013-07-07 - 2013-07-13,+124%
2013-07-14 - 2013-07-20,+116%
2013-07-21 - 2013-07-27,+180%
2013-07-28 - 2013-08-03,+180%
2013-08-04 - 2013-08-10,+148%
2013-08-11 - 2013-08-17,+140%
2013-08-18 - 2013-08-24,+164%
2013-08-25 - 2013-08-31,+136%
2013-09-01 - 2013-09-07,+152%
2013-09-08 - 2013-09-14,+140%
2013-09-15 - 2013-09-21,+144%
2013-09-22 - 2013-09-28,+144%
2013-09-29 - 2013-10-05,+144%
2013-10-06 - 2013-10-12,+160%
2013-10-13 - 2013-10-19,+164%
2013-10-20 - 2013-10-26,+188%
2013-10-27 - 2013-11-02,+176%
2013-11-03 - 2013-11-09,+224%
2013-11-10 - 2013-11-16,+164%
2013-11-17 - 2013-11-23,+148%
2013-11-24 - 2013-11-30,+180%
2013-12-01 - 2013-12-07,+152%
2013-12-08 - 2013-12-14,+164%
2013-12-15 - 2013-12-21,+188%
2013-12-22 - 2013-12-28,+220%
2013-12-29 - 2014-01-04,+180%
2014-01-05 - 2014-01-11,+156%
2014-01-12 - 2014-01-18,+152%
2014-01-19 - 2014-01-25,+152%
2014-01-26 - 2014-02-01,+184%
