YouTube Search interest
United States; Past 90 days

Interest over time
Day,Beauty & Fitness
2014-06-20,+0%
2014-06-21,-8%
2014-06-22,-3%
2014-06-23,-2%
2014-06-24,+4%
2014-06-25,+4%
2014-06-26,+1%
2014-06-27,+4%
2014-06-28,-1%
2014-06-29,+3%
2014-06-30,+7%
2014-07-01,+5%
2014-07-02,+2%
2014-07-03,+5%
2014-07-04,-2%
2014-07-05,-8%
2014-07-06,-2%
2014-07-07,+3%
2014-07-08,+3%
2014-07-09,+3%
2014-07-10,+3%
2014-07-11,+0%
2014-07-12,-4%
2014-07-13,-7%
2014-07-14,+0%
2014-07-15,+4%
2014-07-16,+3%
2014-07-17,+0%
2014-07-18,+0%
2014-07-19,-2%
2014-07-20,-3%
2014-07-21,+4%
2014-07-22,+3%
2014-07-23,+7%
2014-07-24,+8%
2014-07-25,+4%
2014-07-26,+0%
2014-07-27,-1%
2014-07-28,+4%
2014-07-29,+2%
2014-07-30,+4%
2014-07-31,+5%
2014-08-01,+2%
2014-08-02,-3%
2014-08-03,-1%
2014-08-04,-1%
2014-08-05,+4%
2014-08-06,+1%
2014-08-07,+4%
2014-08-08,+4%
2014-08-09,+1%
2014-08-10,-2%
2014-08-11,+5%
2014-08-12,+3%
2014-08-13,-1%
2014-08-14,+2%
2014-08-15,-4%
2014-08-16,-7%
2014-08-17,-7%
2014-08-18,+0%
2014-08-19,+1%
2014-08-20,-3%
2014-08-21,-2%
2014-08-22,-5%
2014-08-23,-8%
2014-08-24,-8%
2014-08-25,-7%
2014-08-26,-8%
2014-08-27,-8%
2014-08-28,-5%
2014-08-29,-12%
2014-08-30,-10%
2014-08-31,-5%
2014-09-01,-4%
2014-09-02,-2%
2014-09-03,-4%
2014-09-04,-7%
2014-09-05,-3%
2014-09-06,-5%
2014-09-07,-4%
2014-09-08,-8%
2014-09-09,-2%
2014-09-10,-5%
2014-09-11,-9%
2014-09-12,-5%
2014-09-13,-8%
2014-09-14,-10%
2014-09-15,+9%
2014-09-16,+0%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
hair,100
makeup,55
workout,55
yoga,25
makeup tutorial,25
hairstyles,25
natural hair,15
abs,10
zumba,10
crossfit,10
hair tutorial,10
fitness,10
tattoos,10
nails,10
beauty,5
michelle phan,5
braids,5
long hair,5
pranks,5
pranks gone wrong,5



Rising searches
crossfit games 2014,+800%
back to school,+700%
tipsy bartender,+300%
august alsina,+250%
my tattoos,+190%
crossfit games,+170%
crochet braids,+130%
ab soul,+110%
pranks gone wrong,+100%
america,+90%



