News Search interest
United States; Past 30 days

Interest over time
Day,Online Communities
2014-08-19,+0%
2014-08-20,+5%
2014-08-21,+6%
2014-08-22,+18%
2014-08-23,+28%
2014-08-24,+26%
2014-08-25,-1%
2014-08-26,+0%
2014-08-27,+3%
2014-08-28,+4%
2014-08-29,+6%
2014-08-30,+24%
2014-08-31,+17%
2014-09-01,+12%
2014-09-02,+3%
2014-09-03,+26%
2014-09-04,-3%
2014-09-05,+4%
2014-09-06,+27%
2014-09-07,+22%
2014-09-08,-4%
2014-09-09,-8%
2014-09-10,-5%
2014-09-11,-1%
2014-09-12,+3%
2014-09-13,+17%
2014-09-14,+9%
2014-09-15,-6%
2014-09-16,+1%
2014-09-17, 
2014-09-18, 



Top searches
facebook,100
twitter,10
facebook login,10
dating,5
tumblr,5
women,0
facebook messenger,0
wallpaper,0
images,0
facebook mobile,0
linkedin,0
social media,0
russian,0
فيس بوك,0
face,0
woman,0
face book,0
одноклассники,0
facebook app,0
zuckerberg,0






