News Search interest
United States; Past 30 days

Interest over time
Day,Health
2014-08-19,+0%
2014-08-20,+11%
2014-08-21,+0%
2014-08-22,-1%
2014-08-23,-20%
2014-08-24,-21%
2014-08-25,-14%
2014-08-26,-2%
2014-08-27,-6%
2014-08-28,-2%
2014-08-29,-4%
2014-08-30,-22%
2014-08-31,-22%
2014-09-01,-30%
2014-09-02,-10%
2014-09-03,+0%
2014-09-04,+0%
2014-09-05,+1%
2014-09-06,-16%
2014-09-07,-18%
2014-09-08,-9%
2014-09-09,-9%
2014-09-10,-1%
2014-09-11,-3%
2014-09-12,-9%
2014-09-13,-19%
2014-09-14,-29%
2014-09-15,-8%
2014-09-16,+0%
2014-09-17, 
2014-09-18, 



Top searches
ebola,100
marijuana,15
joan rivers,15
health,10
cancer,10
virus,10
hospital,5
disease,5
enterovirus,5
ebola virus,5
ebola outbreak,5
hiv,5
surgery,5
autism,5
cannabis,5
nfl,5
diabetes,5
weed,5
food,5
walgreens,0



Rising searches
angelina jolie,Breakout
enterovirus,Breakout
joan rivers,Breakout
nfl drug policy,Breakout
nfl,+1,300%
the doctor,+850%
a&m,+250%
texas a&m,+200%
autism,+70%
food,+50%



