Image Search interest
United States; 2009

Interest over time
Week,Finance
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+3%
2009-01-18 - 2009-01-24,+0%
2009-01-25 - 2009-01-31,+6%
2009-02-01 - 2009-02-07,+7%
2009-02-08 - 2009-02-14,-2%
2009-02-15 - 2009-02-21,+3%
2009-02-22 - 2009-02-28,+10%
2009-03-01 - 2009-03-07,+9%
2009-03-08 - 2009-03-14,+11%
2009-03-15 - 2009-03-21,+6%
2009-03-22 - 2009-03-28,+2%
2009-03-29 - 2009-04-04,+6%
2009-04-05 - 2009-04-11,-2%
2009-04-12 - 2009-04-18,+4%
2009-04-19 - 2009-04-25,+2%
2009-04-26 - 2009-05-02,+4%
2009-05-03 - 2009-05-09,+1%
2009-05-10 - 2009-05-16,-1%
2009-05-17 - 2009-05-23,-3%
2009-05-24 - 2009-05-30,-1%
2009-05-31 - 2009-06-06,-6%
2009-06-07 - 2009-06-13,+1%
2009-06-14 - 2009-06-20,-8%
2009-06-21 - 2009-06-27,-10%
2009-06-28 - 2009-07-04,-17%
2009-07-05 - 2009-07-11,-12%
2009-07-12 - 2009-07-18,-7%
2009-07-19 - 2009-07-25,-9%
2009-07-26 - 2009-08-01,-2%
2009-08-02 - 2009-08-08,-8%
2009-08-09 - 2009-08-15,-7%
2009-08-16 - 2009-08-22,-8%
2009-08-23 - 2009-08-29,-4%
2009-08-30 - 2009-09-05,-10%
2009-09-06 - 2009-09-12,-8%
2009-09-13 - 2009-09-19,-9%
2009-09-20 - 2009-09-26,+1%
2009-09-27 - 2009-10-03,-2%
2009-10-04 - 2009-10-10,-4%
2009-10-11 - 2009-10-17,+0%
2009-10-18 - 2009-10-24,-2%
2009-10-25 - 2009-10-31,-9%
2009-11-01 - 2009-11-07,-1%
2009-11-08 - 2009-11-14,+0%
2009-11-15 - 2009-11-21,+0%
2009-11-22 - 2009-11-28,-12%
2009-11-29 - 2009-12-05,+2%
2009-12-06 - 2009-12-12,-7%
2009-12-13 - 2009-12-19,-9%
2009-12-20 - 2009-12-26,-29%
2009-12-27 - 2010-01-02,-22%



Top searches
money,100
bank,55
card,50
credit,45
insurance,30
dollar,25
credit card,25
geico,20
stock,20
visa,15
chase,15
currency,15
check,15
tax,10
bank of america,10
penny,10
geico money,10
financial,10
american express,10
dollar sign,10



Rising searches
geico eyes,Breakout
geico money,Breakout
saving money,+350%
isa,+300%
geico,+120%
banco,+80%
contabilidad,+80%
fondo,+80%
monedas,+60%
chase bank,+50%



