News Search interest
United States; Past 12 months

Interest over time
Week,Home & Garden
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+7%
2013-09-29 - 2013-10-05,+4%
2013-10-06 - 2013-10-12,+10%
2013-10-13 - 2013-10-19,+19%
2013-10-20 - 2013-10-26,+6%
2013-10-27 - 2013-11-02,+4%
2013-11-03 - 2013-11-09,+5%
2013-11-10 - 2013-11-16,+7%
2013-11-17 - 2013-11-23,+6%
2013-11-24 - 2013-11-30,+17%
2013-12-01 - 2013-12-07,-1%
2013-12-08 - 2013-12-14,+7%
2013-12-15 - 2013-12-21,+2%
2013-12-22 - 2013-12-28,+14%
2013-12-29 - 2014-01-04,+17%
2014-01-05 - 2014-01-11,+10%
2014-01-12 - 2014-01-18,+8%
2014-01-19 - 2014-01-25,+7%
2014-01-26 - 2014-02-01,-4%
2014-02-02 - 2014-02-08,-5%
2014-02-09 - 2014-02-15,-2%
2014-02-16 - 2014-02-22,+0%
2014-02-23 - 2014-03-01,+4%
2014-03-02 - 2014-03-08,-4%
2014-03-09 - 2014-03-15,-8%
2014-03-16 - 2014-03-22,-7%
2014-03-23 - 2014-03-29,-2%
2014-03-30 - 2014-04-05,+0%
2014-04-06 - 2014-04-12,+5%
2014-04-13 - 2014-04-19,+12%
2014-04-20 - 2014-04-26,+6%
2014-04-27 - 2014-05-03,+6%
2014-05-04 - 2014-05-10,+7%
2014-05-11 - 2014-05-17,-1%
2014-05-18 - 2014-05-24,+5%
2014-05-25 - 2014-05-31,+0%
2014-06-01 - 2014-06-07,+1%
2014-06-08 - 2014-06-14,-4%
2014-06-15 - 2014-06-21,-7%
2014-06-22 - 2014-06-28,-2%
2014-06-29 - 2014-07-05,-10%
2014-07-06 - 2014-07-12,-11%
2014-07-13 - 2014-07-19,-5%
2014-07-20 - 2014-07-26,-10%
2014-07-27 - 2014-08-02,-8%
2014-08-03 - 2014-08-09,-11%
2014-08-10 - 2014-08-16,-15%
2014-08-17 - 2014-08-23,-11%
2014-08-24 - 2014-08-30,-13%
2014-08-31 - 2014-09-06,-5%
2014-09-07 - 2014-09-13,-12%
2014-09-14 - 2014-09-20,-17%



Top searches
home depot,100
furniture,80
lowes,50
debt,40
amc,30
pool,30
mattress,20
debt ceiling,20
ikea,20
led,20
ge,20
bed bath beyond,20
tile,15
jabari parker,15
pot,15
box,15
couch,15
vacuum,10
clock,10
refrigerator,10



Rising searches
ethan couch,Breakout
tanaka,+1,850%
shovel,+750%
jabari parker,+120%
sugar bowl,+90%
couch,+80%
harbor freight,+70%
debt ceiling,+50%
hsn,+50%
keurig,+50%



