YouTube Search interest
United States; Past 30 days

Interest over time
Day,Food & Drink
2014-08-20,+0%
2014-08-21,+4%
2014-08-22,+1%
2014-08-23,+7%
2014-08-24,+8%
2014-08-25,-1%
2014-08-26,+3%
2014-08-27,+4%
2014-08-28,+6%
2014-08-29,+1%
2014-08-30,+6%
2014-08-31,+7%
2014-09-01,+12%
2014-09-02,+1%
2014-09-03,+2%
2014-09-04,-1%
2014-09-05,+0%
2014-09-06,+6%
2014-09-07,+9%
2014-09-08,+1%
2014-09-09,-1%
2014-09-10,+2%
2014-09-11,+0%
2014-09-12,+4%
2014-09-13,+2%
2014-09-14,+7%
2014-09-15,-1%
2014-09-16,+0%
2014-09-17,+4%
2014-09-18, 
2014-09-19, 



Top searches
vine,100
cake,70
vines,55
food,50
frozen,45
troye sivan,45
candy,35
cooking,35
recipes,35
gummy bear,35
pizza,30
rice,30
chocolate,30
gummy bear song,20
vine compilation,20
ice cream,20
gordon ramsay,20
mcdonalds,20
coffee,20
best vines,15



Rising searches
21 vine,+400%
orange caramel,+400%
dj mustard,+80%
annabelle trailer,+70%
red bull,+60%
annabelle,+50%
cake trey songz,+50%
cocoa butter kisses,+40%
rice,+40%
shofu,+40%



