News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Health
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+62%
2008-01-20 - 2008-01-26,+8%
2008-01-27 - 2008-02-02,+8%
2008-02-03 - 2008-02-09,-8%
2008-02-10 - 2008-02-16,+15%
2008-02-17 - 2008-02-23,+0%
2008-02-24 - 2008-03-01,+8%
2008-03-02 - 2008-03-08,+31%
2008-03-09 - 2008-03-15,+8%
2008-03-16 - 2008-03-22,-31%
2008-03-23 - 2008-03-29,+46%
2008-03-30 - 2008-04-05,+54%
2008-04-06 - 2008-04-12,+15%
2008-04-13 - 2008-04-19,+31%
2008-04-20 - 2008-04-26,+8%
2008-04-27 - 2008-05-03,-8%
2008-05-04 - 2008-05-10,-8%
2008-05-11 - 2008-05-17,-8%
2008-05-18 - 2008-05-24,+0%
2008-05-25 - 2008-05-31,+0%
2008-06-01 - 2008-06-07,+23%
2008-06-08 - 2008-06-14,+85%
2008-06-15 - 2008-06-21,+0%
2008-06-22 - 2008-06-28,+0%
2008-06-29 - 2008-07-05,+0%
2008-07-06 - 2008-07-12,+31%
2008-07-13 - 2008-07-19,+8%
2008-07-20 - 2008-07-26,+8%
2008-07-27 - 2008-08-02,+0%
2008-08-03 - 2008-08-09,-8%
2008-08-10 - 2008-08-16,-31%
2008-08-17 - 2008-08-23,-15%
2008-08-24 - 2008-08-30,-15%
2008-08-31 - 2008-09-06,-23%
2008-09-07 - 2008-09-13,+8%
2008-09-14 - 2008-09-20,-15%
2008-09-21 - 2008-09-27,-15%
2008-09-28 - 2008-10-04,-15%
2008-10-05 - 2008-10-11,+0%
2008-10-12 - 2008-10-18,+0%
2008-10-19 - 2008-10-25,+8%
2008-10-26 - 2008-11-01,+8%
2008-11-02 - 2008-11-08,-46%
2008-11-09 - 2008-11-15,+38%
2008-11-16 - 2008-11-22,+15%
2008-11-23 - 2008-11-29,-15%
2008-11-30 - 2008-12-06,+46%
2008-12-07 - 2008-12-13,+0%
2008-12-14 - 2008-12-20,+0%
2008-12-21 - 2008-12-27,-23%
2008-12-28 - 2009-01-03,+8%
2009-01-04 - 2009-01-10,+77%
2009-01-11 - 2009-01-17,+62%
2009-01-18 - 2009-01-24,+215%
2009-01-25 - 2009-01-31,+123%
2009-02-01 - 2009-02-07,+154%
2009-02-08 - 2009-02-14,+54%
2009-02-15 - 2009-02-21,+38%
2009-02-22 - 2009-02-28,+46%
2009-03-01 - 2009-03-07,+46%
2009-03-08 - 2009-03-14,+54%
2009-03-15 - 2009-03-21,+31%
2009-03-22 - 2009-03-28,+54%
2009-03-29 - 2009-04-04,+77%
2009-04-05 - 2009-04-11,+46%
2009-04-12 - 2009-04-18,+62%
2009-04-19 - 2009-04-25,+100%
2009-04-26 - 2009-05-02,+669%
2009-05-03 - 2009-05-09,+238%
2009-05-10 - 2009-05-16,+108%
2009-05-17 - 2009-05-23,+100%
2009-05-24 - 2009-05-30,+77%
2009-05-31 - 2009-06-06,+54%
2009-06-07 - 2009-06-13,+69%
2009-06-14 - 2009-06-20,+77%
2009-06-21 - 2009-06-27,+54%
2009-06-28 - 2009-07-04,+62%
2009-07-05 - 2009-07-11,+62%
2009-07-12 - 2009-07-18,+77%
2009-07-19 - 2009-07-25,+85%
2009-07-26 - 2009-08-01,+92%
2009-08-02 - 2009-08-08,+92%
2009-08-09 - 2009-08-15,+92%
2009-08-16 - 2009-08-22,+85%
2009-08-23 - 2009-08-29,+85%
2009-08-30 - 2009-09-05,+85%
2009-09-06 - 2009-09-12,+85%
2009-09-13 - 2009-09-19,+77%
2009-09-20 - 2009-09-26,+92%
2009-09-27 - 2009-10-03,+100%
2009-10-04 - 2009-10-10,+108%
2009-10-11 - 2009-10-17,+115%
2009-10-18 - 2009-10-24,+146%
2009-10-25 - 2009-10-31,+138%
2009-11-01 - 2009-11-07,+123%
2009-11-08 - 2009-11-14,+123%
2009-11-15 - 2009-11-21,+108%
2009-11-22 - 2009-11-28,+62%
2009-11-29 - 2009-12-05,+69%
2009-12-06 - 2009-12-12,+69%
2009-12-13 - 2009-12-19,+69%
2009-12-20 - 2009-12-26,+69%
2009-12-27 - 2010-01-02,+38%
2010-01-03 - 2010-01-09,+54%
2010-01-10 - 2010-01-16,+69%
2010-01-17 - 2010-01-23,+62%
2010-01-24 - 2010-01-30,+69%
2010-01-31 - 2010-02-06,+62%
2010-02-07 - 2010-02-13,+54%
2010-02-14 - 2010-02-20,+54%
2010-02-21 - 2010-02-27,+85%
2010-02-28 - 2010-03-06,+69%
2010-03-07 - 2010-03-13,+69%
2010-03-14 - 2010-03-20,+100%
2010-03-21 - 2010-03-27,+200%
2010-03-28 - 2010-04-03,+62%
2010-04-04 - 2010-04-10,+62%
2010-04-11 - 2010-04-17,+62%
2010-04-18 - 2010-04-24,+54%
2010-04-25 - 2010-05-01,+54%
2010-05-02 - 2010-05-08,+54%
2010-05-09 - 2010-05-15,+46%
2010-05-16 - 2010-05-22,+38%
2010-05-23 - 2010-05-29,+46%
2010-05-30 - 2010-06-05,+46%
2010-06-06 - 2010-06-12,+46%
2010-06-13 - 2010-06-19,+54%
2010-06-20 - 2010-06-26,+46%
2010-06-27 - 2010-07-03,+54%
2010-07-04 - 2010-07-10,+46%
2010-07-11 - 2010-07-17,+77%
2010-07-18 - 2010-07-24,+85%
2010-07-25 - 2010-07-31,+38%
2010-08-01 - 2010-08-07,+38%
2010-08-08 - 2010-08-14,+85%
2010-08-15 - 2010-08-21,+123%
2010-08-22 - 2010-08-28,+146%
2010-08-29 - 2010-09-04,+46%
2010-09-05 - 2010-09-11,+54%
2010-09-12 - 2010-09-18,+77%
2010-09-19 - 2010-09-25,+77%
2010-09-26 - 2010-10-02,+92%
2010-10-03 - 2010-10-09,+85%
2010-10-10 - 2010-10-16,+85%
2010-10-17 - 2010-10-23,+77%
2010-10-24 - 2010-10-30,+77%
2010-10-31 - 2010-11-06,+54%
2010-11-07 - 2010-11-13,+62%
2010-11-14 - 2010-11-20,+69%
2010-11-21 - 2010-11-27,+54%
2010-11-28 - 2010-12-04,+69%
2010-12-05 - 2010-12-11,+108%
2010-12-12 - 2010-12-18,+85%
2010-12-19 - 2010-12-25,+54%
2010-12-26 - 2011-01-01,+54%
2011-01-02 - 2011-01-08,+77%
2011-01-09 - 2011-01-15,+54%
2011-01-16 - 2011-01-22,+69%
2011-01-23 - 2011-01-29,+69%
2011-01-30 - 2011-02-05,+62%
2011-02-06 - 2011-02-12,+69%
2011-02-13 - 2011-02-19,+77%
2011-02-20 - 2011-02-26,+62%
2011-02-27 - 2011-03-05,+69%
2011-03-06 - 2011-03-12,+54%
2011-03-13 - 2011-03-19,+108%
2011-03-20 - 2011-03-26,+85%
2011-03-27 - 2011-04-02,+100%
2011-04-03 - 2011-04-09,+77%
2011-04-10 - 2011-04-16,+85%
2011-04-17 - 2011-04-23,+69%
2011-04-24 - 2011-04-30,+54%
2011-05-01 - 2011-05-07,+38%
2011-05-08 - 2011-05-14,+69%
2011-05-15 - 2011-05-21,+77%
2011-05-22 - 2011-05-28,+62%
2011-05-29 - 2011-06-04,+85%
2011-06-05 - 2011-06-11,+77%
2011-06-12 - 2011-06-18,+62%
2011-06-19 - 2011-06-25,+77%
2011-06-26 - 2011-07-02,+69%
2011-07-03 - 2011-07-09,+54%
2011-07-10 - 2011-07-16,+69%
2011-07-17 - 2011-07-23,+62%
2011-07-24 - 2011-07-30,+62%
2011-07-31 - 2011-08-06,+77%
2011-08-07 - 2011-08-13,+62%
2011-08-14 - 2011-08-20,+62%
2011-08-21 - 2011-08-27,+38%
2011-08-28 - 2011-09-03,+62%
2011-09-04 - 2011-09-10,+69%
2011-09-11 - 2011-09-17,+85%
2011-09-18 - 2011-09-24,+77%
2011-09-25 - 2011-10-01,+92%
2011-10-02 - 2011-10-08,+77%
2011-10-09 - 2011-10-15,+85%
2011-10-16 - 2011-10-22,+85%
2011-10-23 - 2011-10-29,+77%
2011-10-30 - 2011-11-05,+69%
2011-11-06 - 2011-11-12,+54%
2011-11-13 - 2011-11-19,+69%
2011-11-20 - 2011-11-26,+62%
2011-11-27 - 2011-12-03,+77%
2011-12-04 - 2011-12-10,+62%
2011-12-11 - 2011-12-17,+77%
2011-12-18 - 2011-12-24,+77%
2011-12-25 - 2011-12-31,+69%
2012-01-01 - 2012-01-07,+69%
2012-01-08 - 2012-01-14,+115%
2012-01-15 - 2012-01-21,+154%
2012-01-22 - 2012-01-28,+85%
2012-01-29 - 2012-02-04,+92%
2012-02-05 - 2012-02-11,+85%
2012-02-12 - 2012-02-18,+92%
2012-02-19 - 2012-02-25,+92%
2012-02-26 - 2012-03-03,+77%
2012-03-04 - 2012-03-10,+77%
2012-03-11 - 2012-03-17,+69%
2012-03-18 - 2012-03-24,+69%
2012-03-25 - 2012-03-31,+77%
2012-04-01 - 2012-04-07,+85%
2012-04-08 - 2012-04-14,+85%
2012-04-15 - 2012-04-21,+77%
2012-04-22 - 2012-04-28,+85%
