Web Search interest
United States; Past 7 days

Interest over time
Day,Games
2014-09-11,+0%
2014-09-12,+2%
2014-09-13,+18%
2014-09-14,+19%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
games,100
lottery,50
game,45
xbox,35
destiny,25
pokemon,20
cool math,20
cool games,20
cool math games,20
sims,15
gta,15
xbox 360,15
ps4,15
powerball,15
minecraft,15
xbox one,15
skyrim,10
free games,10
smash bros,10
mario,10



Rising searches
preorder iphone 6,+800%
destiny review,+150%
ssb4,+150%
destiny,+140%
destiny xbox 360,+120%
smash bros,+120%
bungie,+110%
super smash bros,+110%
destiny ps3,+100%
destiny ps4,+50%



