Google Shopping interest
United States; 2011

Interest over time
Week,Real Estate
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+10%
2011-01-16 - 2011-01-22,+19%
2011-01-23 - 2011-01-29,+10%
2011-01-30 - 2011-02-05,+18%
2011-02-06 - 2011-02-12,+6%
2011-02-13 - 2011-02-19,+17%
2011-02-20 - 2011-02-26,+28%
2011-02-27 - 2011-03-05,+17%
2011-03-06 - 2011-03-12,+24%
2011-03-13 - 2011-03-19,+29%
2011-03-20 - 2011-03-26,+25%
2011-03-27 - 2011-04-02,+26%
2011-04-03 - 2011-04-09,+29%
2011-04-10 - 2011-04-16,+25%
2011-04-17 - 2011-04-23,+39%
2011-04-24 - 2011-04-30,+28%
2011-05-01 - 2011-05-07,+24%
2011-05-08 - 2011-05-14,+25%
2011-05-15 - 2011-05-21,+21%
2011-05-22 - 2011-05-28,+25%
2011-05-29 - 2011-06-04,+28%
2011-06-05 - 2011-06-11,+22%
2011-06-12 - 2011-06-18,+25%
2011-06-19 - 2011-06-25,+21%
2011-06-26 - 2011-07-02,+29%
2011-07-03 - 2011-07-09,+33%
2011-07-10 - 2011-07-16,+32%
2011-07-17 - 2011-07-23,+22%
2011-07-24 - 2011-07-30,+18%
2011-07-31 - 2011-08-06,+14%
2011-08-07 - 2011-08-13,+14%
2011-08-14 - 2011-08-20,+14%
2011-08-21 - 2011-08-27,+3%
2011-08-28 - 2011-09-03,+6%
2011-09-04 - 2011-09-10,+4%
2011-09-11 - 2011-09-17,+15%
2011-09-18 - 2011-09-24,+7%
2011-09-25 - 2011-10-01,-1%
2011-10-02 - 2011-10-08,+10%
2011-10-09 - 2011-10-15,+1%
2011-10-16 - 2011-10-22,+4%
2011-10-23 - 2011-10-29,-4%
2011-10-30 - 2011-11-05,+10%
2011-11-06 - 2011-11-12,+3%
2011-11-13 - 2011-11-19,+10%
2011-11-20 - 2011-11-26,-12%
2011-11-27 - 2011-12-03,-7%
2011-12-04 - 2011-12-10,-10%
2011-12-11 - 2011-12-17,-10%
2011-12-18 - 2011-12-24,+4%
2011-12-25 - 2011-12-31,+15%



Top searches
flats,100
rent,50
real estate,40
homes,35
houses,35
apartments,30
redline,25
housing,20
carport,15
florida,15
homes for sale,15
houses for sale,10
black flats,10
apartment,10
shelterlogic,10
barbie townhouse,10
storage buildings,10
houses for rent,10
shelter logic,10
metal buildings,5



Rising searches
house plans,Breakout
icade,Breakout
shelter logic,+300%
shelterlogic,+300%
homes for rent,+170%
apartments for rent,+110%
tv for sale,+90%
houses for rent,+80%
venta,+80%
apartments,+70%



