YouTube Search interest
United States; Past 7 days

Interest over time
Day,People & Society
2014-09-13,+0%
2014-09-14,+4%
2014-09-15,+9%
2014-09-16,+4%
2014-09-17,+9%
2014-09-18, 
2014-09-19, 



Top searches
hot,100
baby,55
hot niggga,45
bobby shmurda,45
shmurda hot niggga,45
faze,20
hot nigga,20
apparently kid,15
meditation,15
imagine dragons,15
tech n9ne,15
rhymes,10
buzzfeed,10
illuminati,10
k camp,10
friends,10
kissing,10
christina perri,10
migos,10
ufo,10



Rising searches
apparently kid,+600%
harry potter,+40%
migos,+40%



