Web Search interest
United States; Past 90 days

Interest over time
Day,Books & Literature
2014-06-18,+0%
2014-06-19,-4%
2014-06-20,-4%
2014-06-21,-7%
2014-06-22,-2%
2014-06-23,-6%
2014-06-24,-7%
2014-06-25,-4%
2014-06-26,-9%
2014-06-27,-9%
2014-06-28,-6%
2014-06-29,-2%
2014-06-30,-11%
2014-07-01,-12%
2014-07-02,-10%
2014-07-03,-11%
2014-07-04,-9%
2014-07-05,-11%
2014-07-06,-2%
2014-07-07,-6%
2014-07-08,-2%
2014-07-09,-6%
2014-07-10,-4%
2014-07-11,-11%
2014-07-12,-5%
2014-07-13,-1%
2014-07-14,-4%
2014-07-15,-9%
2014-07-16,-7%
2014-07-17,-9%
2014-07-18,-11%
2014-07-19,-9%
2014-07-20,-4%
2014-07-21,-9%
2014-07-22,-7%
2014-07-23,-4%
2014-07-24,-7%
2014-07-25,-9%
2014-07-26,-6%
2014-07-27,-2%
2014-07-28,-9%
2014-07-29,-7%
2014-07-30,-5%
2014-07-31,-6%
2014-08-01,-11%
2014-08-02,-10%
2014-08-03,-4%
2014-08-04,-7%
2014-08-05,-7%
2014-08-06,-5%
2014-08-07,-5%
2014-08-08,-10%
2014-08-09,-6%
2014-08-10,-2%
2014-08-11,-5%
2014-08-12,+2%
2014-08-13,-1%
2014-08-14,-2%
2014-08-15,-5%
2014-08-16,-7%
2014-08-17,+0%
2014-08-18,-1%
2014-08-19,+0%
2014-08-20,+0%
2014-08-21,-2%
2014-08-22,-1%
2014-08-23,-6%
2014-08-24,+0%
2014-08-25,+2%
2014-08-26,+9%
2014-08-27,+9%
2014-08-28,+7%
2014-08-29,+5%
2014-08-30,-9%
2014-08-31,-1%
2014-09-01,+6%
2014-09-02,+11%
2014-09-03,+11%
2014-09-04,+13%
2014-09-05,+5%
2014-09-06,-5%
2014-09-07,+9%
2014-09-08,+16%
2014-09-09,+22%
2014-09-10,+20%
2014-09-11,+17%
2014-09-12,+10%
2014-09-13,-6%
2014-09-14,+6%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
quotes,100
book,35
books,30
fanfiction,15
game of thrones,15
love quotes,10
quote,10
harry potter,10
poems,5
sparknotes,5
life quotes,5
fanfic,5
barnes and noble,5
funny quotes,5
amazon books,5
pretty little liars,5
frases,5
inspirational quotes,5
fiction,5
poetry,5



Rising searches
leo tolstoy,+1,050%
outlander series,+450%
nicola peltz,+300%
the giver,+200%
sword art online,+120%
bonnie and clyde,+110%
jk rowling,+100%
nantucket,+90%
pretty little liars,+80%
harry potter,+60%



