Google Shopping interest
United States; 2010

Interest over time
Week,Real Estate
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+0%
2010-01-17 - 2010-01-23,+6%
2010-01-24 - 2010-01-30,+8%
2010-01-31 - 2010-02-06,+2%
2010-02-07 - 2010-02-13,-2%
2010-02-14 - 2010-02-20,-6%
2010-02-21 - 2010-02-27,-2%
2010-02-28 - 2010-03-06,+0%
2010-03-07 - 2010-03-13,+11%
2010-03-14 - 2010-03-20,+6%
2010-03-21 - 2010-03-27,+6%
2010-03-28 - 2010-04-03,+11%
2010-04-04 - 2010-04-10,+20%
2010-04-11 - 2010-04-17,+8%
2010-04-18 - 2010-04-24,+6%
2010-04-25 - 2010-05-01,+22%
2010-05-02 - 2010-05-08,+17%
2010-05-09 - 2010-05-15,+25%
2010-05-16 - 2010-05-22,+25%
2010-05-23 - 2010-05-29,+33%
2010-05-30 - 2010-06-05,+13%
2010-06-06 - 2010-06-12,+11%
2010-06-13 - 2010-06-19,+16%
2010-06-20 - 2010-06-26,+6%
2010-06-27 - 2010-07-03,+17%
2010-07-04 - 2010-07-10,-2%
2010-07-11 - 2010-07-17,+5%
2010-07-18 - 2010-07-24,+14%
2010-07-25 - 2010-07-31,+3%
2010-08-01 - 2010-08-07,+28%
2010-08-08 - 2010-08-14,+31%
2010-08-15 - 2010-08-21,+13%
2010-08-22 - 2010-08-28,+16%
2010-08-29 - 2010-09-04,+5%
2010-09-05 - 2010-09-11,+14%
2010-09-12 - 2010-09-18,+17%
2010-09-19 - 2010-09-25,+19%
2010-09-26 - 2010-10-02,+20%
2010-10-03 - 2010-10-09,+16%
2010-10-10 - 2010-10-16,+20%
2010-10-17 - 2010-10-23,+27%
2010-10-24 - 2010-10-30,+14%
2010-10-31 - 2010-11-06,+14%
2010-11-07 - 2010-11-13,-34%
2010-11-14 - 2010-11-20,-31%
2010-11-21 - 2010-11-27,+11%
2010-11-28 - 2010-12-04,+56%
2010-12-05 - 2010-12-11,+25%
2010-12-12 - 2010-12-18,+6%
2010-12-19 - 2010-12-25,-3%
2010-12-26 - 2011-01-01,-23%



Top searches
flats,100
real estate,45
homes,35
barbie townhouse,35
rent,35
houses,35
redline,25
barbie dream townhouse,20
apartments,20
carport,15
florida,15
homes for sale,15
houses for sale,10
cabin,10
carports,10
black flats,10
apartment,10



Rising searches
flats,+70%
barbie dream townhouse,+40%



