News Search interest
United States; Past 90 days

Interest over time
Day,News
2014-06-19,+0%
2014-06-20,+15%
2014-06-21,+7%
2014-06-22,+7%
2014-06-23,-2%
2014-06-24,-1%
2014-06-25,+7%
2014-06-26,-5%
2014-06-27,+0%
2014-06-28,-7%
2014-06-29,-7%
2014-06-30,-10%
2014-07-01,-8%
2014-07-02,-5%
2014-07-03,-2%
2014-07-04,-9%
2014-07-05,-14%
2014-07-06,-13%
2014-07-07,-9%
2014-07-08,-10%
2014-07-09,-2%
2014-07-10,-2%
2014-07-11,-7%
2014-07-12,-16%
2014-07-13,-13%
2014-07-14,-5%
2014-07-15,+0%
2014-07-16,-2%
2014-07-17,+1%
2014-07-18,+1%
2014-07-19,-5%
2014-07-20,-5%
2014-07-21,-2%
2014-07-22,-1%
2014-07-23,-2%
2014-07-24,-5%
2014-07-25,-6%
2014-07-26,-5%
2014-07-27,-7%
2014-07-28,-7%
2014-07-29,-8%
2014-07-30,+0%
2014-07-31,+6%
2014-08-01,+3%
2014-08-02,-3%
2014-08-03,+6%
2014-08-04,-8%
2014-08-05,-5%
2014-08-06,+2%
2014-08-07,+1%
2014-08-08,-2%
2014-08-09,-6%
2014-08-10,-8%
2014-08-11,-10%
2014-08-12,-3%
2014-08-13,-1%
2014-08-14,-6%
2014-08-15,-5%
2014-08-16,-8%
2014-08-17,-6%
2014-08-18,-9%
2014-08-19,-7%
2014-08-20,+0%
2014-08-21,-5%
2014-08-22,-5%
2014-08-23,-10%
2014-08-24,-16%
2014-08-25,-8%
2014-08-26,-1%
2014-08-27,+6%
2014-08-28,+5%
2014-08-29,-2%
2014-08-30,-7%
2014-08-31,-7%
2014-09-01,+0%
2014-09-02,-2%
2014-09-03,+9%
2014-09-04,+5%
2014-09-05,-3%
2014-09-06,-7%
2014-09-07,-11%
2014-09-08,-8%
2014-09-09,-10%
2014-09-10,-10%
2014-09-11,-5%
2014-09-12,-3%
2014-09-13,-9%
2014-09-14,-15%
2014-09-15,-13%
2014-09-16,-10%
2014-09-17, 
2014-09-18, 



Top searches
news,100
weather,85
kardashian,20
kim kardashian,15
cnn,10
miley cyrus,10
putin,10
tiempo,10
fox news,10
transfer news,5
obama,5
google,5
cristiano ronaldo,5
republican party,5
hillary clinton,5
vladimir putin,5
google news,5
hillary rodham clinton,5
arsenal news,5
bbc,5



Rising searches
shia labeouf,+400%
arsenal news,+250%
arsenal transfer,+250%
manchester united transfer,+250%
transfer news,+250%
manchester united,+200%
israel,+180%
palin,+110%
chelsea news,+100%
john kerry,+80%



