Web Search interest
United States; Past 90 days

Interest over time
Day,People & Society
2014-06-18,+0%
2014-06-19,+1%
2014-06-20,+2%
2014-06-21,+2%
2014-06-22,+7%
2014-06-23,+0%
2014-06-24,+0%
2014-06-25,+2%
2014-06-26,-3%
2014-06-27,+1%
2014-06-28,+3%
2014-06-29,+9%
2014-06-30,-1%
2014-07-01,+0%
2014-07-02,-3%
2014-07-03,-2%
2014-07-04,-4%
2014-07-05,+0%
2014-07-06,+8%
2014-07-07,+1%
2014-07-08,-1%
2014-07-09,+1%
2014-07-10,+0%
2014-07-11,-4%
2014-07-12,+2%
2014-07-13,+8%
2014-07-14,+2%
2014-07-15,-1%
2014-07-16,-1%
2014-07-17,-3%
2014-07-18,+1%
2014-07-19,+2%
2014-07-20,+10%
2014-07-21,-1%
2014-07-22,-2%
2014-07-23,-1%
2014-07-24,-1%
2014-07-25,-1%
2014-07-26,-1%
2014-07-27,+10%
2014-07-28,-1%
2014-07-29,+0%
2014-07-30,-1%
2014-07-31,+0%
2014-08-01,-2%
2014-08-02,+0%
2014-08-03,+8%
2014-08-04,+0%
2014-08-05,-2%
2014-08-06,-3%
2014-08-07,-1%
2014-08-08,-2%
2014-08-09,+1%
2014-08-10,+9%
2014-08-11,-2%
2014-08-12,-4%
2014-08-13,-2%
2014-08-14,-1%
2014-08-15,-2%
2014-08-16,+0%
2014-08-17,+4%
2014-08-18,-2%
2014-08-19,+0%
2014-08-20,+7%
2014-08-21,+1%
2014-08-22,+0%
2014-08-23,+4%
2014-08-24,+7%
2014-08-25,+1%
2014-08-26,+1%
2014-08-27,+2%
2014-08-28,-2%
2014-08-29,+1%
2014-08-30,-1%
2014-08-31,+5%
2014-09-01,+3%
2014-09-02,+3%
2014-09-03,+4%
2014-09-04,+2%
2014-09-05,-1%
2014-09-06,+0%
2014-09-07,+5%
2014-09-08,+5%
2014-09-09,+3%
2014-09-10,+3%
2014-09-11,+0%
2014-09-12,-1%
2014-09-13,-1%
2014-09-14,+4%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
girls,100
bible,75
hot,75
horoscope,45
love,40
god,30
cool math,25
social security,25
tmz,25
babies r us,25
people,25
cool math games,25
jesus,20
univision,20
karma,20
pandora,20
credit karma,20
friends,15
baby names,15
community,15



Rising searches
james foley,Breakout
jennifer lawrence,+300%
jill duggar,+200%
girl meets world,+120%
zoe saldana,+120%
wiggle,+70%
nelson mandela,+50%
kaley cuoco,+40%
quran,+40%
target baby registry,+40%



