Web Search interest
United States; Past 90 days

Interest over time
Day,Health
2014-06-18,+0%
2014-06-19,-2%
2014-06-20,-5%
2014-06-21,-20%
2014-06-22,-19%
2014-06-23,+1%
2014-06-24,+2%
2014-06-25,-1%
2014-06-26,-3%
2014-06-27,-2%
2014-06-28,-20%
2014-06-29,-20%
2014-06-30,-3%
2014-07-01,-3%
2014-07-02,+1%
2014-07-03,-4%
2014-07-04,-26%
2014-07-05,-22%
2014-07-06,-20%
2014-07-07,+4%
2014-07-08,+1%
2014-07-09,+1%
2014-07-10,+0%
2014-07-11,-5%
2014-07-12,-20%
2014-07-13,-23%
2014-07-14,+2%
2014-07-15,-1%
2014-07-16,+1%
2014-07-17,+1%
2014-07-18,-3%
2014-07-19,-20%
2014-07-20,-20%
2014-07-21,+1%
2014-07-22,+2%
2014-07-23,+3%
2014-07-24,+0%
2014-07-25,-4%
2014-07-26,-19%
2014-07-27,-19%
2014-07-28,+2%
2014-07-29,+3%
2014-07-30,+3%
2014-07-31,+0%
2014-08-01,-4%
2014-08-02,-13%
2014-08-03,-15%
2014-08-04,+8%
2014-08-05,+5%
2014-08-06,+5%
2014-08-07,+3%
2014-08-08,-6%
2014-08-09,-19%
2014-08-10,-19%
2014-08-11,-2%
2014-08-12,-2%
2014-08-13,+0%
2014-08-14,+2%
2014-08-15,-6%
2014-08-16,-20%
2014-08-17,-22%
2014-08-18,+2%
2014-08-19,+3%
2014-08-20,+4%
2014-08-21,+2%
2014-08-22,-3%
2014-08-23,-19%
2014-08-24,-20%
2014-08-25,+0%
2014-08-26,+2%
2014-08-27,+2%
2014-08-28,+0%
2014-08-29,-6%
2014-08-30,-24%
2014-08-31,-22%
2014-09-01,-22%
2014-09-02,-1%
2014-09-03,+2%
2014-09-04,+2%
2014-09-05,-3%
2014-09-06,-19%
2014-09-07,-20%
2014-09-08,+1%
2014-09-09,+2%
2014-09-10,+4%
2014-09-11,-1%
2014-09-12,-6%
2014-09-13,-22%
2014-09-14,-22%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
and,100
dr,35
walgreens,15
ebola,15
weed,10
cvs,10
diabetes,5
marijuana,5
blood pressure,5
walmart,5
anxiety,5
depression,5
urgent care,5
herpes,5
cleveland,5
thyroid,5
diarrhea,5
als,5
webmd,5
ebola virus,5



Rising searches
paul george injury,Breakout
paul george,+4,750%
ebola symptoms,+2,100%
joan rivers,+1,500%
als disease,+1,450%
ebola,+1,250%
ebola virus,+1,150%
als,+800%
ebola outbreak,+750%
marfan syndrome,+450%



