News Search interest
United States; Past 90 days

Interest over time
Day,People & Society
2014-06-19,+0%
2014-06-20,-1%
2014-06-21,+0%
2014-06-22,+7%
2014-06-23,-3%
2014-06-24,-2%
2014-06-25,-6%
2014-06-26,-7%
2014-06-27,-3%
2014-06-28,+4%
2014-06-29,+12%
2014-06-30,+1%
2014-07-01,-8%
2014-07-02,-6%
2014-07-03,-2%
2014-07-04,-7%
2014-07-05,-10%
2014-07-06,-2%
2014-07-07,-3%
2014-07-08,+3%
2014-07-09,+3%
2014-07-10,-2%
2014-07-11,-16%
2014-07-12,-9%
2014-07-13,-11%
2014-07-14,-4%
2014-07-15,-2%
2014-07-16,-2%
2014-07-17,-12%
2014-07-18,+1%
2014-07-19,+1%
2014-07-20,-2%
2014-07-21,-4%
2014-07-22,-10%
2014-07-23,-10%
2014-07-24,-10%
2014-07-25,-6%
2014-07-26,-2%
2014-07-27,-1%
2014-07-28,-7%
2014-07-29,+2%
2014-07-30,+1%
2014-07-31,-4%
2014-08-01,-13%
2014-08-02,-6%
2014-08-03,-1%
2014-08-04,-8%
2014-08-05,-2%
2014-08-06,+3%
2014-08-07,-2%
2014-08-08,-9%
2014-08-09,-6%
2014-08-10,-4%
2014-08-11,-20%
2014-08-12,-22%
2014-08-13,-15%
2014-08-14,-12%
2014-08-15,-9%
2014-08-16,-10%
2014-08-17,-6%
2014-08-18,-9%
2014-08-19,-6%
2014-08-20,+10%
2014-08-21,+4%
2014-08-22,+4%
2014-08-23,-1%
2014-08-24,-7%
2014-08-25,-11%
2014-08-26,-7%
2014-08-27,-7%
2014-08-28,-9%
2014-08-29,-11%
2014-08-30,-11%
2014-08-31,-10%
2014-09-01,-1%
2014-09-02,-6%
2014-09-03,+0%
2014-09-04,-8%
2014-09-05,-8%
2014-09-06,-6%
2014-09-07,-7%
2014-09-08,-10%
2014-09-09,-13%
2014-09-10,-13%
2014-09-11,-13%
2014-09-12,-12%
2014-09-13,-11%
2014-09-14,-8%
2014-09-15,-10%
2014-09-16,-9%
2014-09-17, 
2014-09-18, 



Top searches
marriage,100
india,70
same-sex marriage,50
pregnant,45
girls,45
baby,40
hot,40
foley,40
immigration,35
us,35
james foley,30
boko haram,25
duggar,25
ufo,25
israel,20
divorce,20
iraq,20
economy,20
climate change,20
tmz,20



Rising searches
james foley,Breakout
isis,+3,600%
foley,+2,700%
j. k. rowling,+600%
nelson mandela,+500%
iraq,+350%
jennifer lawrence,+350%
israel,+110%
duggar,+70%
kaley cuoco,+70%



