YouTube Search interest
United States; 2009

Interest over time
Week,Computers & Electronics
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-6%
2009-01-18 - 2009-01-24,-6%
2009-01-25 - 2009-01-31,-7%
2009-02-01 - 2009-02-07,-9%
2009-02-08 - 2009-02-14,-9%
2009-02-15 - 2009-02-21,-8%
2009-02-22 - 2009-02-28,-11%
2009-03-01 - 2009-03-07,-9%
2009-03-08 - 2009-03-14,-6%
2009-03-15 - 2009-03-21,-8%
2009-03-22 - 2009-03-28,-8%
2009-03-29 - 2009-04-04,-6%
2009-04-05 - 2009-04-11,-6%
2009-04-12 - 2009-04-18,-8%
2009-04-19 - 2009-04-25,-10%
2009-04-26 - 2009-05-02,-8%
2009-05-03 - 2009-05-09,-9%
2009-05-10 - 2009-05-16,-7%
2009-05-17 - 2009-05-23,-6%
2009-05-24 - 2009-05-30,-6%
2009-05-31 - 2009-06-06,-2%
2009-06-07 - 2009-06-13,+5%
2009-06-14 - 2009-06-20,+6%
2009-06-21 - 2009-06-27,+1%
2009-06-28 - 2009-07-04,-5%
2009-07-05 - 2009-07-11,-3%
2009-07-12 - 2009-07-18,-1%
2009-07-19 - 2009-07-25,+1%
2009-07-26 - 2009-08-01,+1%
2009-08-02 - 2009-08-08,+1%
2009-08-09 - 2009-08-15,+0%
2009-08-16 - 2009-08-22,+5%
2009-08-23 - 2009-08-29,+3%
2009-08-30 - 2009-09-05,+0%
2009-09-06 - 2009-09-12,+2%
2009-09-13 - 2009-09-19,-7%
2009-09-20 - 2009-09-26,-1%
2009-09-27 - 2009-10-03,-2%
2009-10-04 - 2009-10-10,-2%
2009-10-11 - 2009-10-17,+1%
2009-10-18 - 2009-10-24,+0%
2009-10-25 - 2009-10-31,-2%
2009-11-01 - 2009-11-07,-2%
2009-11-08 - 2009-11-14,-3%
2009-11-15 - 2009-11-21,-3%
2009-11-22 - 2009-11-28,+1%
2009-11-29 - 2009-12-05,+7%
2009-12-06 - 2009-12-12,+2%
2009-12-13 - 2009-12-19,+6%
2009-12-20 - 2009-12-26,+10%
2009-12-27 - 2010-01-02,+15%



Top searches
ipod,100
xbox 360,75
ipod touch,70
psp,60
ps3,60
iphone,50
jailbreak,40
photoshop,40
mac,40
wii,30
sony,25
ds,25
how to hack,25
jailbreak ipod touch,20
windows 7,20
nintendo,20
xbox live,15
macbook,15
apple,15
drive,15



Rising searches
dsi,+800%
windows 7,+700%
photoshop cs4,+600%
ipod touch 2g,+250%
jailbreak iphone,+120%
jailbreak ipod touch,+110%
eclipse,+90%
ipod touch apps,+80%
jailbreak,+80%
photoshop tutorial,+50%



