YouTube Search interest
United States; Past 90 days

Interest over time
Day,Travel
2014-06-20,+0%
2014-06-21,-3%
2014-06-22,-8%
2014-06-23,-8%
2014-06-24,-9%
2014-06-25,-7%
2014-06-26,-9%
2014-06-27,-5%
2014-06-28,-5%
2014-06-29,-1%
2014-06-30,-11%
2014-07-01,-9%
2014-07-02,-9%
2014-07-03,-7%
2014-07-04,-7%
2014-07-05,-2%
2014-07-06,-5%
2014-07-07,-3%
2014-07-08,+1%
2014-07-09,-3%
2014-07-10,-10%
2014-07-11,-12%
2014-07-12,-4%
2014-07-13,-9%
2014-07-14,-5%
2014-07-15,-8%
2014-07-16,-8%
2014-07-17,+1%
2014-07-18,+10%
2014-07-19,+1%
2014-07-20,+2%
2014-07-21,+2%
2014-07-22,-7%
2014-07-23,-4%
2014-07-24,-9%
2014-07-25,-8%
2014-07-26,-7%
2014-07-27,-7%
2014-07-28,-4%
2014-07-29,-9%
2014-07-30,-8%
2014-07-31,-12%
2014-08-01,-9%
2014-08-02,-13%
2014-08-03,-4%
2014-08-04,-4%
2014-08-05,-9%
2014-08-06,-7%
2014-08-07,-13%
2014-08-08,-9%
2014-08-09,-7%
2014-08-10,-9%
2014-08-11,-10%
2014-08-12,-14%
2014-08-13,-19%
2014-08-14,-14%
2014-08-15,-13%
2014-08-16,-12%
2014-08-17,-7%
2014-08-18,-12%
2014-08-19,-8%
2014-08-20,-18%
2014-08-21,-14%
2014-08-22,-14%
2014-08-23,-12%
2014-08-24,-12%
2014-08-25,-19%
2014-08-26,-12%
2014-08-27,-8%
2014-08-28,-11%
2014-08-29,-12%
2014-08-30,-9%
2014-08-31,-9%
2014-09-01,-8%
2014-09-02,-11%
2014-09-03,-16%
2014-09-04,-16%
2014-09-05,-18%
2014-09-06,-19%
2014-09-07,-14%
2014-09-08,-16%
2014-09-09,-20%
2014-09-10,-16%
2014-09-11,-18%
2014-09-12,-19%
2014-09-13,-16%
2014-09-14,-16%
2014-09-15,-18%
2014-09-16,-18%
2014-09-17,-18%
2014-09-18, 
2014-09-19, 



Top searches
ride,100
weeknd,80
disney,80
roller coaster,80
the weeknd,75
train,65
beach,60
six flags,60
flight,55
cruise,55
attack on titan,50
disney world,45
disneyland,45
or nah,40
weeknd or nah,40
mountain,40
las vegas,30
airplane,30
universal studios,25
bus,25



Rising searches
azir,Breakout
mh17,Breakout
often weeknd,Breakout
grand canyon,+100%
hershey park,+100%
water park,+80%
minecraft roller coaster,+60%
rollercoaster,+60%
toontown,+60%
parks and recreation,+50%



