Web Search interest
United States; 2005

Interest over time
Week,Finance
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,-3%
2005-01-16 - 2005-01-22,-7%
2005-01-23 - 2005-01-29,-1%
2005-01-30 - 2005-02-05,+7%
2005-02-06 - 2005-02-12,+1%
2005-02-13 - 2005-02-19,-2%
2005-02-20 - 2005-02-26,-3%
2005-02-27 - 2005-03-05,+3%
2005-03-06 - 2005-03-12,-3%
2005-03-13 - 2005-03-19,-1%
2005-03-20 - 2005-03-26,-1%
2005-03-27 - 2005-04-02,-2%
2005-04-03 - 2005-04-09,-5%
2005-04-10 - 2005-04-16,+16%
2005-04-17 - 2005-04-23,-12%
2005-04-24 - 2005-04-30,-10%
2005-05-01 - 2005-05-07,-15%
2005-05-08 - 2005-05-14,-12%
2005-05-15 - 2005-05-21,-12%
2005-05-22 - 2005-05-28,-12%
2005-05-29 - 2005-06-04,-8%
2005-06-05 - 2005-06-11,-6%
2005-06-12 - 2005-06-18,-5%
2005-06-19 - 2005-06-25,-1%
2005-06-26 - 2005-07-02,-2%
2005-07-03 - 2005-07-09,-7%
2005-07-10 - 2005-07-16,-2%
2005-07-17 - 2005-07-23,-7%
2005-07-24 - 2005-07-30,-5%
2005-07-31 - 2005-08-06,-3%
2005-08-07 - 2005-08-13,-3%
2005-08-14 - 2005-08-20,-2%
2005-08-21 - 2005-08-27,-6%
2005-08-28 - 2005-09-03,-7%
2005-09-04 - 2005-09-10,-10%
2005-09-11 - 2005-09-17,-7%
2005-09-18 - 2005-09-24,-13%
2005-09-25 - 2005-10-01,-10%
2005-10-02 - 2005-10-08,-13%
2005-10-09 - 2005-10-15,-8%
2005-10-16 - 2005-10-22,-13%
2005-10-23 - 2005-10-29,-14%
2005-10-30 - 2005-11-05,-9%
2005-11-06 - 2005-11-12,-15%
2005-11-13 - 2005-11-19,-12%
2005-11-20 - 2005-11-26,-22%
2005-11-27 - 2005-12-03,-10%
2005-12-04 - 2005-12-10,-13%
2005-12-11 - 2005-12-17,-15%
2005-12-18 - 2005-12-24,-15%
2005-12-25 - 2005-12-31,-8%



Top searches
bank,100
insurance,60
mortgage,35
bank america,25
bank of america,25
loans,15
irs,15
currency,15
stock,15
credit card,15
chase,10
wells fargo,10
credit report,10
american express,10
money,10
fafsa,10
mortgage calculator,10
blue cross,5
health insurance,5
capital one,5



Rising searches
free credit report,+90%
bankofamerica,+70%
oil prices,+60%
credit report,+50%
credit score,+50%
wamu,+50%
bank america,+40%
bank of america,+40%
chase credit card,+40%
hsbc,+40%



