News Search interest
United States; Past 90 days

Interest over time
Day,Arts & Entertainment
2014-06-19,+0%
2014-06-20,-5%
2014-06-21,+10%
2014-06-22,+3%
2014-06-23,-8%
2014-06-24,-10%
2014-06-25,-10%
2014-06-26,-13%
2014-06-27,-3%
2014-06-28,+6%
2014-06-29,+5%
2014-06-30,+2%
2014-07-01,-5%
2014-07-02,-6%
2014-07-03,-3%
2014-07-04,+11%
2014-07-05,+8%
2014-07-06,+3%
2014-07-07,-2%
2014-07-08,-8%
2014-07-09,-10%
2014-07-10,-5%
2014-07-11,-10%
2014-07-12,+2%
2014-07-13,+3%
2014-07-14,+0%
2014-07-15,+0%
2014-07-16,-5%
2014-07-17,-8%
2014-07-18,-3%
2014-07-19,+6%
2014-07-20,+11%
2014-07-21,+3%
2014-07-22,+2%
2014-07-23,-8%
2014-07-24,-6%
2014-07-25,+3%
2014-07-26,+14%
2014-07-27,+19%
2014-07-28,+2%
2014-07-29,+2%
2014-07-30,-2%
2014-07-31,-2%
2014-08-01,+0%
2014-08-02,+8%
2014-08-03,+11%
2014-08-04,-3%
2014-08-05,-3%
2014-08-06,+0%
2014-08-07,-2%
2014-08-08,-3%
2014-08-09,+6%
2014-08-10,+2%
2014-08-11,+33%
2014-08-12,+59%
2014-08-13,+33%
2014-08-14,+24%
2014-08-15,+21%
2014-08-16,+17%
2014-08-17,+21%
2014-08-18,+3%
2014-08-19,+8%
2014-08-20,+2%
2014-08-21,-3%
2014-08-22,+6%
2014-08-23,+13%
2014-08-24,+10%
2014-08-25,+32%
2014-08-26,+24%
2014-08-27,+16%
2014-08-28,+6%
2014-08-29,+2%
2014-08-30,+2%
2014-08-31,+5%
2014-09-01,+11%
2014-09-02,+5%
2014-09-03,-3%
2014-09-04,-8%
2014-09-05,-6%
2014-09-06,+3%
2014-09-07,+3%
2014-09-08,-16%
2014-09-09,-13%
2014-09-10,-8%
2014-09-11,-13%
2014-09-12,-10%
2014-09-13,+2%
2014-09-14,-2%
2014-09-15,-13%
2014-09-16,-3%
2014-09-17, 
2014-09-18, 



Top searches
robin williams,100
youtube,60
beyonce,30
selena gomez,30
miley cyrus,30
nicki minaj,25
kardashian,25
movies,25
taylor swift,20
you,20
music,20
batman,20
netflix,15
chris brown,15
rihanna,15
google,15
star wars,15
angelina jolie,15
kanye west,15
walking dead,10



Rising searches
robin williams,Breakout
imran khan,+3,550%
big brother,+700%
true blood,+550%
nicki minaj,+250%
jennifer lawrence,+150%
iggy azalea,+110%
taylor swift,+100%
kanye west,+60%
marvel,+60%



