Web Search interest
United States; Past 30 days

Interest over time
Day,Jobs & Education
2014-08-18,+0%
2014-08-19,-1%
2014-08-20,-3%
2014-08-21,-1%
2014-08-22,-12%
2014-08-23,-35%
2014-08-24,-32%
2014-08-25,+8%
2014-08-26,+5%
2014-08-27,+0%
2014-08-28,-1%
2014-08-29,-10%
2014-08-30,-32%
2014-08-31,-41%
2014-09-01,-34%
2014-09-02,+5%
2014-09-03,+4%
2014-09-04,+1%
2014-09-05,-9%
2014-09-06,-31%
2014-09-07,-31%
2014-09-08,+1%
2014-09-09,-2%
2014-09-10,-4%
2014-09-11,-6%
2014-09-12,-10%
2014-09-13,-32%
2014-09-14,-33%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
college,100
jobs,85
education,20
test,20
blackboard,15
als,15
academy,15
indeed,15
resume,10
classroom,10
barnes and noble,5
rate my professor,5
google classroom,5
notre dame,5
powerschool,5
kindergarten,5
harvard,5
cover letter,5
moodle,5
interview questions,5



Rising searches
google classroom,+1,400%
moodle,+250%
als,+200%
d2l,+200%
edline,+200%
blackboard,+190%
classroom,+100%
notre dame,+80%
parent portal,+80%
powerschool,+80%



