News Search interest
United States; 2009

Interest over time
Week,Shopping
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+13%
2009-01-18 - 2009-01-24,-10%
2009-01-25 - 2009-01-31,-10%
2009-02-01 - 2009-02-07,-10%
2009-02-08 - 2009-02-14,-19%
2009-02-15 - 2009-02-21,-19%
2009-02-22 - 2009-02-28,-17%
2009-03-01 - 2009-03-07,-6%
2009-03-08 - 2009-03-14,-6%
2009-03-15 - 2009-03-21,-19%
2009-03-22 - 2009-03-28,-12%
2009-03-29 - 2009-04-04,+0%
2009-04-05 - 2009-04-11,-4%
2009-04-12 - 2009-04-18,+13%
2009-04-19 - 2009-04-25,-12%
2009-04-26 - 2009-05-02,-33%
2009-05-03 - 2009-05-09,+8%
2009-05-10 - 2009-05-16,-12%
2009-05-17 - 2009-05-23,-17%
2009-05-24 - 2009-05-30,-10%
2009-05-31 - 2009-06-06,-4%
2009-06-07 - 2009-06-13,-6%
2009-06-14 - 2009-06-20,+4%
2009-06-21 - 2009-06-27,-12%
2009-06-28 - 2009-07-04,-12%
2009-07-05 - 2009-07-11,-17%
2009-07-12 - 2009-07-18,-10%
2009-07-19 - 2009-07-25,-4%
2009-07-26 - 2009-08-01,-4%
2009-08-02 - 2009-08-08,-4%
2009-08-09 - 2009-08-15,-2%
2009-08-16 - 2009-08-22,+10%
2009-08-23 - 2009-08-29,+0%
2009-08-30 - 2009-09-05,-4%
2009-09-06 - 2009-09-12,+0%
2009-09-13 - 2009-09-19,-12%
2009-09-20 - 2009-09-26,-6%
2009-09-27 - 2009-10-03,-6%
2009-10-04 - 2009-10-10,-6%
2009-10-11 - 2009-10-17,+10%
2009-10-18 - 2009-10-24,+0%
2009-10-25 - 2009-10-31,+13%
2009-11-01 - 2009-11-07,-8%
2009-11-08 - 2009-11-14,+4%
2009-11-15 - 2009-11-21,+25%
2009-11-22 - 2009-11-28,+108%
2009-11-29 - 2009-12-05,+6%
2009-12-06 - 2009-12-12,-4%
2009-12-13 - 2009-12-19,-10%
2009-12-20 - 2009-12-26,-6%
2009-12-27 - 2010-01-02,-8%



Top searches
ps3,100
xbox,70
ipod,55
circuit city,55
black friday,45
360,45
xbox 360,40
walmart,40
ipod touch,40
nintendo,35
playstation,30
zune,30
kindle,30
dsi,25
sony,25
psp,25
ebay,25
tea party,20
playstation 3,20
best buy,20



Rising searches
tea party,Breakout
zune hd,Breakout
black friday 2009,+3,150%
circuit city liquidation,+2,700%
dsi,+300%
dsi nintendo,+250%
kindle,+250%
zune,+130%
coupons,+110%
psp,+100%



