YouTube Search interest
United States; 2010

Interest over time
Week,Jobs & Education
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-6%
2010-01-17 - 2010-01-23,-3%
2010-01-24 - 2010-01-30,-2%
2010-01-31 - 2010-02-06,-2%
2010-02-07 - 2010-02-13,-4%
2010-02-14 - 2010-02-20,-9%
2010-02-21 - 2010-02-27,+3%
2010-02-28 - 2010-03-06,+0%
2010-03-07 - 2010-03-13,-4%
2010-03-14 - 2010-03-20,-1%
2010-03-21 - 2010-03-27,-1%
2010-03-28 - 2010-04-03,-4%
2010-04-04 - 2010-04-10,-3%
2010-04-11 - 2010-04-17,+4%
2010-04-18 - 2010-04-24,+4%
2010-04-25 - 2010-05-01,+1%
2010-05-02 - 2010-05-08,-4%
2010-05-09 - 2010-05-15,-1%
2010-05-16 - 2010-05-22,-6%
2010-05-23 - 2010-05-29,-5%
2010-05-30 - 2010-06-05,-12%
2010-06-06 - 2010-06-12,-14%
2010-06-13 - 2010-06-19,-17%
2010-06-20 - 2010-06-26,-19%
2010-06-27 - 2010-07-03,-21%
2010-07-04 - 2010-07-10,-20%
2010-07-11 - 2010-07-17,-17%
2010-07-18 - 2010-07-24,-17%
2010-07-25 - 2010-07-31,-18%
2010-08-01 - 2010-08-07,-17%
2010-08-08 - 2010-08-14,-13%
2010-08-15 - 2010-08-21,-11%
2010-08-22 - 2010-08-28,-7%
2010-08-29 - 2010-09-04,-1%
2010-09-05 - 2010-09-11,-2%
2010-09-12 - 2010-09-18,-1%
2010-09-19 - 2010-09-25,+2%
2010-09-26 - 2010-10-02,+1%
2010-10-03 - 2010-10-09,+3%
2010-10-10 - 2010-10-16,+5%
2010-10-17 - 2010-10-23,+6%
2010-10-24 - 2010-10-30,-1%
2010-10-31 - 2010-11-06,-3%
2010-11-07 - 2010-11-13,+4%
2010-11-14 - 2010-11-20,+1%
2010-11-21 - 2010-11-27,-12%
2010-11-28 - 2010-12-04,-4%
2010-12-05 - 2010-12-11,-4%
2010-12-12 - 2010-12-18,+0%
2010-12-19 - 2010-12-25,-17%
2010-12-26 - 2011-01-01,-18%



Top searches
school,100
high high,60
high,60
high school,55
guitar,45
college,25
doctorado,20
training,15
el doctorado,15
guitar lesson,15
phoenix,15
guitar lessons,10
school fights,10
abc,10
tony dize,10
doctorado tony dize,10
high school football,10
school fight,10
abc song,10
high school fights,5



Rising searches
el doctorado,+1,250%
doctorado,+1,200%
doctorado tony dize,+1,150%
tony dize,+1,050%
temporary home,+600%
lisztomania phoenix,+350%
i hate college,+250%
pepe,+250%
sapo pepe,+250%
phoenix,+90%



