News Search interest
United States; Past 90 days

Interest over time
Day,Games
2014-06-19,+0%
2014-06-20,-15%
2014-06-21,-4%
2014-06-22,+1%
2014-06-23,-15%
2014-06-24,-14%
2014-06-25,-14%
2014-06-26,-13%
2014-06-27,-19%
2014-06-28,-4%
2014-06-29,+8%
2014-06-30,-5%
2014-07-01,-9%
2014-07-02,-15%
2014-07-03,-14%
2014-07-04,-14%
2014-07-05,-9%
2014-07-06,-4%
2014-07-07,-16%
2014-07-08,-22%
2014-07-09,-20%
2014-07-10,-19%
2014-07-11,-23%
2014-07-12,-15%
2014-07-13,-13%
2014-07-14,-13%
2014-07-15,-17%
2014-07-16,-15%
2014-07-17,-20%
2014-07-18,-23%
2014-07-19,-9%
2014-07-20,-8%
2014-07-21,-13%
2014-07-22,-13%
2014-07-23,-15%
2014-07-24,-18%
2014-07-25,-13%
2014-07-26,-3%
2014-07-27,-3%
2014-07-28,-15%
2014-07-29,-15%
2014-07-30,-14%
2014-07-31,-16%
2014-08-01,-16%
2014-08-02,-10%
2014-08-03,-8%
2014-08-04,-18%
2014-08-05,-12%
2014-08-06,-14%
2014-08-07,-16%
2014-08-08,-23%
2014-08-09,-4%
2014-08-10,-6%
2014-08-11,-20%
2014-08-12,-10%
2014-08-13,+2%
2014-08-14,-14%
2014-08-15,-16%
2014-08-16,-11%
2014-08-17,-4%
2014-08-18,-15%
2014-08-19,-17%
2014-08-20,-16%
2014-08-21,-14%
2014-08-22,-14%
2014-08-23,-2%
2014-08-24,+6%
2014-08-25,-14%
2014-08-26,-15%
2014-08-27,-16%
2014-08-28,-19%
2014-08-29,-13%
2014-08-30,-9%
2014-08-31,-6%
2014-09-01,-13%
2014-09-02,-20%
2014-09-03,-16%
2014-09-04,-18%
2014-09-05,-22%
2014-09-06,-8%
2014-09-07,-10%
2014-09-08,-25%
2014-09-09,-22%
2014-09-10,-19%
2014-09-11,-18%
2014-09-12,-2%
2014-09-13,-3%
2014-09-14,-13%
2014-09-15,-23%
2014-09-16,-20%
2014-09-17, 
2014-09-18, 



Top searches
xbox,100
ps4,65
xbox one,60
games,50
gta,45
fifa,45
game,40
lottery,40
wii,30
playstation,30
pokemon,30
nintendo,30
wii u,30
smash bros,25
gta 5,20
minecraft,20
super smash bros,20
playstation 4,15
xbox 360,15
destiny,15



Rising searches
fifa 15,+700%
madden 15,+400%
fifa,+300%
sims 4,+250%
destiny,+190%
advanced warfare,+150%
psn,+150%
mortal kombat,+60%
smash bros,+60%
super smash bros,+60%



