Google Shopping interest
United States; Past 12 months

Interest over time
Week,Real Estate
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+2%
2013-09-29 - 2013-10-05,+2%
2013-10-06 - 2013-10-12,-2%
2013-10-13 - 2013-10-19,+7%
2013-10-20 - 2013-10-26,+3%
2013-10-27 - 2013-11-02,+2%
2013-11-03 - 2013-11-09,+2%
2013-11-10 - 2013-11-16,-3%
2013-11-17 - 2013-11-23,-11%
2013-11-24 - 2013-11-30,-21%
2013-12-01 - 2013-12-07,-23%
2013-12-08 - 2013-12-14,-31%
2013-12-15 - 2013-12-21,-26%
2013-12-22 - 2013-12-28,-20%
2013-12-29 - 2014-01-04,+7%
2014-01-05 - 2014-01-11,+11%
2014-01-12 - 2014-01-18,+13%
2014-01-19 - 2014-01-25,+15%
2014-01-26 - 2014-02-01,+10%
2014-02-02 - 2014-02-08,+15%
2014-02-09 - 2014-02-15,+11%
2014-02-16 - 2014-02-22,+16%
2014-02-23 - 2014-03-01,+20%
2014-03-02 - 2014-03-08,+16%
2014-03-09 - 2014-03-15,+15%
2014-03-16 - 2014-03-22,+26%
2014-03-23 - 2014-03-29,+26%
2014-03-30 - 2014-04-05,+21%
2014-04-06 - 2014-04-12,+16%
2014-04-13 - 2014-04-19,+18%
2014-04-20 - 2014-04-26,+21%
2014-04-27 - 2014-05-03,+23%
2014-05-04 - 2014-05-10,+34%
2014-05-11 - 2014-05-17,+41%
2014-05-18 - 2014-05-24,+59%
2014-05-25 - 2014-05-31,+48%
2014-06-01 - 2014-06-07,+61%
2014-06-08 - 2014-06-14,+54%
2014-06-15 - 2014-06-21,+56%
2014-06-22 - 2014-06-28,+52%
2014-06-29 - 2014-07-05,+57%
2014-07-06 - 2014-07-12,+64%
2014-07-13 - 2014-07-19,+56%
2014-07-20 - 2014-07-26,+59%
2014-07-27 - 2014-08-02,+49%
2014-08-03 - 2014-08-09,+43%
2014-08-10 - 2014-08-16,+39%
2014-08-17 - 2014-08-23,+43%
2014-08-24 - 2014-08-30,+49%
2014-08-31 - 2014-09-06,+44%
2014-09-07 - 2014-09-13,+38%
2014-09-14 - 2014-09-20,+33%



Top searches
rent,100
apartments,80
for rent,80
homes,80
flats,65
houses,60
house,50
homes for sale,40
real real,35
real,35
real estate,30
florida,30
houses for rent,20
houses for sale,20
zillow,20
apartments for rent,15
homes for rent,15
apartment,15
cabin,15
mobile homes,10



Rising searches
houses for rent,+130%
zillow,+90%
house for rent,+70%
mobile homes,+70%
for rent,+60%
houses,+60%
apartments,+50%
homes for sale,+50%
rent,+50%
cabins,+40%



